pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Possession in,furnishing,features,ratings,Overlooking,Property Age
"2 BHK Flat in Awadhpuri, Bhopal",Girnar Hills,₹17.5 Lac,"₹2,755 /sqft",Ready To Move,2 bhk flat well furnished flat,"Super Built up area 635
(58.99 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 17.5 Lac+ Govt Charges & Tax
@ 2,755 per sq.ft. (All inclusive)","Girnar Hills
Awadhpuri, Bhopal",5th   of 7 Floors,,,"['1 Fan', '1 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club,Main Road,Sea facing",5 to 10 Year Old    View Construction Status
"3 BHK Flat in Kolar Road, Bhopal",Agrawal Sagar Green Hills,₹55 Lac,"₹5,319 /sqft",Ready To Move,"This society is present in the middle of nature, due to which a very beautiful view of nature is visible from the balcony. The flat is very special and air comes from all sides. The windows are very good. The whole flat is airy.","Carpet area: 1034
(96.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac+ Govt Charges & Tax
@ 5,319 per sq.ft. (Negotiable)","Agrawal Sagar Green Hills
Kolar Road, Bhopal",4th   of 6 Floors,,,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 BHK Flat in Arera Colony, Bhopal",Mirchandani Shalimar Enclave,₹40 Lac,"₹5,479 /sqft",Ready To Move,Well ventilated. Terrace use exclusive for this flat,"Carpet area: 730
(67.82 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac+ Govt Charges & Tax
@ 5,479 per sq.ft.","Mirchandani Shalimar Enclave
Arera Colony, Bhopal",3rd   of 3 Floors,,,[],"['Security / Fire Alarm', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"2 BHK Flat in Shivaji Nagar, Bhopal",Keelandev Tower,₹1.18 Cr,"₹9,291 /sqft",Ready To Move,"This 2 bhk flat is located in keelandev tower, which houses some of the most spacious flats in shivaji nagar, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1270 sq.Ft. The flat has a total of 5 floors and this property is situated on top floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Carpet area: 1270
(117.99 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 1.18 Crore
@ 9,291 per sq.ft. View Price Details","Keelandev Tower
Shivaji Nagar, Bhopal",5th   of 5 Floors,,undefined,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Hoshangabad Road, Bhopal",Aakriti Aqua City,₹30 Lac,"₹2,269 /sqft",Ready To Move,Residential apartment for sell.Located on 1st floor out of the 6 located in hoshangabad road.It is a unfurnished property.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 3000000.The property comes with a good construction quality which ages 0-1 years old property,"Super Built up area 1322
(122.82 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 30 Lac
@ 2,269 per sq.ft.","Aakriti Aqua City
Hoshangabad Road, Bhopal",1st   of 6 Floors,,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Swimming Pool', 'Water Storage', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,0 to 1 Year Old
"1 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹18 Lac,"₹4,500 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in sarc pacific blue, hoshangabad road, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 400 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 400
(37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 18 Lac
@ 4,500 per sq.ft.","SARC Pacific Blue
Hoshangabad Road, Bhopal",3rd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Paras Heights,₹32 Lac,"₹2,368 /sqft",Ready To Move,"This beautiful 3 bhk flat in ayodhya bypass , bhopal is situated in paras heights, one of the popular residential society in bhopal. The flat is over 1351 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 3rd floor of a 7 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including park and lift(s).","Super Built up area 1351
(125.51 sq.m.)
Built Up area: 1074 sq.ft. (99.78 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 32 Lac+ Govt Charges & Tax
@ 2,368 per sq.ft. (Negotiable) View Price Details","Paras Heights
Ayodhya Bypass , Bhopal",3rd   of 7 Floors,,,[],"['Power Back-up', 'Lift(s)', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old    View Construction Status
"3 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹48 Lac,"₹3,168 /sqft",Ready To Move,Infront of garden and clean colony,"Carpet area: 1515
(140.75 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 48 Lac+ Govt Charges & Tax
@ 3,168 per sq.ft. (All inclusive, Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",1st   of 6 Floors,,,"['1 Bed', '4 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '20 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road,Sea facing",5 to 10 Year Old
"3 BHK Flat in Bawadia Kalan, Bhopal",Aakrati Olive,₹69 Lac,"₹7,123 /sqft",Ready To Move,"This beautiful 3 bhk flat in bawadia kalan, bhopal is situated in aakrati olive, one of the popular residential society in bhopal. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 90 sq.M. The residential building has 5 floors in total and the flat for sale is located on the 4th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property.","Carpet area: 90   
sq.m.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 69 Lac+ Govt Charges & Tax
@ 76,666 per sq.m. (Negotiable)","Aakrati Olive
Bawadia Kalan, Bhopal",4th   of 5 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹35 Lac,"₹5,384 /sqft",Ready To Move,"Property is well maintained. Has proper ventilation and sunlight. Main road facing. 2 wheeler parking available. All basic amenities available, grocery, vegetables are available 24hrs. Well maintained neat & clean society with 2 time water supply.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 5,384 per sq.ft. (All inclusive)","Sarvadharm Colony
Kolar Road, Bhopal",1st   of 3 Floors,East,,"['2 Bed', '1 Wardrobe', '1 Water Purifier', '4 Fan', '1 Fridge', '1 Stove', '15 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,10+ Year Old
"2 BHK Flat in Govindpura, Bhopal",Ram Complex,₹25 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in ram complex, govindpura, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,333 per sq.ft.","Ram Complex
Govindpura, Bhopal",Ground of 2 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"3 BHK Flat in Hoshangabad Road, Bhopal",Sagar Pearl Phase 2,₹58 Lac,"₹5,800 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in sagar pearl phase 2, one of the most prominent projects for flats in hoshangabad road, bhopal. This residential flat is north-Facing direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1000 sq.Ft. This flat is situated on the 3rd floor of this 8 floors tall residential building. This is a ready to move project and the property is 1-5 years old. The beautifully designed ceramic flooring enhances the beauty of the flat. Proximity to landmarks like close to hospital, close to mall and close to highway makes this an ideal property for families. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, club house / community center, park, shopping centre, grocery shop, cctv surveillance, visitor parking and lift(s). This residential project ensures a 24*7 water supply for its residents.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 58 Lac+ Govt Charges & Tax
@ 5,800 per sq.ft. (All inclusive, Negotiable)","Sagar Pearl Phase 2
Hoshangabad Road, Bhopal",3rd   of 8 Floors,North,,"['5 Fan', '1 Exhaust Fan', '1 Geyser', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,1 to 5 Year Old
"2 BHK Flat in TT Nagar, Bhopal",Jharneshwar Complex,₹47 Lac,"₹4,700 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in jharneshwar complex, tt nagar, bhopal. This it is a and the unit is located on ground floor and has a carpet area of 1000 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 47 Lac
@ 4,700 per sq.ft.","Jharneshwar Complex
TT Nagar, Bhopal",Ground of 10 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"2 BHK Flat in TT Nagar, Bhopal",Jharneshwar Complex,₹47 Lac,"₹4,700 /sqft",Ready To Move,"Fully furnished 2bhk flat at new market tt nagar jawahar chowk bhopal available for sale, 24 hours water supply, big kitchen garden. Situated in heart of city main bhopal area.","Super Built up area 1000
(92.9 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 47 Lac
@ 4,700 per sq.ft. (All inclusive)","Jharneshwar Complex
TT Nagar, Bhopal",Lower Ground of 1 Floors,North-East,,"['2 Bed', '2 Wardrobe', '1 Fan', '1 Sofa', '1 Exhaust Fan', '1 Light', '1 AC', '1 TV', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,10+ Year Old
"3 BHK Flat in Kohefiza, Bhopal",afroz appartment,₹46 Lac,"₹4,181 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in afroz avenue appartment , kohefiza, bhopal. This is located on 3rd floor and has a super built-Up area of 1100 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 46 Lac
@ 4,181 per sq.ft. (Negotiable)","afroz appartment
Kohefiza, Bhopal",3rd   of 7 Floors,,,[],"['Security / Fire Alarm', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Archana Parisar,₹30 Lac,"₹2,400 /sqft",Ready To Move,"Covered campus, 2 bore, Limited houses.","Carpet area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony
View Floor Plan","₹ 30 Lac
@ 2,400 per sq.ft. (Negotiable)","Archana Parisar
Ayodhya Bypass , Bhopal",2nd   of 5 Floors,,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,1 to 5 Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹44 Lac,"₹2,802 /sqft",Ready To Move,"Greenery all around, near lake, very spacious, with gym & swimming pool. Corner property. Well maintained and furnished.","Super Built up area 1570
(145.86 sq.m.)
Carpet area: 1070 sq.ft. (99.41 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Pooja Room","₹ 44 Lac
@ 2,802 per sq.ft. (All inclusive, Negotiable)","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",4th   of 6 Floors,,,"['3 Wardrobe', '6 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Club,Park/Garden",5 to 10 Year Old
"3 BHK Flat in Sanjeev Nagar, Bhopal",RIPL Maple Tree,₹50.88 Lac,"₹3,200 /sqft",Ready To Move,"Ripl maple tree is one of bhopal's most sought after destination for apartments and this 3 bhk flat in sanjeev nagar is your opportunity to be a part of this community. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1590 sq.Ft. The property is located on the top floor of a 6 floors tall building. An added advantage of this 1-5 years old flat is that it is available fully furnished for immediate possession and ready to move. All the modern amenities such as swimming pool, fitness centre / gym, park, cctv surveillance and lift(s) will make life easier for you.","Super Built up area 1590
(147.72 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 50.88 Lac+ Govt Charges & Tax
@ 3,200 per sq.ft. (Negotiable)","RIPL Maple Tree
Sanjeev Nagar, Bhopal",6th   of 7 Floors,,,"['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '9 Light', '3 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road",1 to 5 Year Old
"2 BHK Flat in rent out residential, Bhopal",surbhi mohini homes,₹32.5 Lac,"₹3,823 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in surbhi mohini homes, rent out residential, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 850 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 850
(78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32.5 Lac
@ 3,823 per sq.ft.","surbhi mohini homes
rent out residential, Bhopal",3rd   of 4 Floors,,,[],[],[],,1 to 5 Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹70 Lac,"₹3,749 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in agrawal sagar lakeview homes, ayodhya bypass, bhopal. This semi-Furnished apartment it is a and the unit is located on 3rd floor and has a super built-Up area of 1867 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1867
(173.45 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 70 Lac
@ 3,749 per sq.ft.","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",3rd   of 6 Floors,,,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '9 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road",5 to 10 Year Old
"3 BHK Flat in Bawadia Kalan, Bhopal",Chinarr Sapphire,₹56 Lac,"₹3,733 /sqft",Ready To Move,"It's a semi-Furnished 3bhk spacious ready to move in fla. All basic amenities available like a garden, temple, swimming pool, gym in the community centre. This flat comes with one reserved covered parking and ample of space for open parking in the campus premises. It's a 24x7 guarded campus with the camera surveillance. Dedicated lift for each block and a small visitor waiting area.","Super Built up area 1700
(157.94 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony with Others","₹ 56 Lac+ Govt Charges & Tax
@ 3,733 per sq.ft. (All inclusive, Negotiable)","Chinarr Sapphire
Bawadia Kalan, Bhopal",3rd   of 6 Floors,East,,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Others,10+ Year Old
"3 BHK Flat in Bawadia Kalan, Bhopal",Vajra Towers,₹90 Lac,"₹6,000 /sqft",Ready To Move,The property is brand new and unlived. Has great ventilation and natural light. Comes with 3 split air conditioners and a modular kitchen.,"Carpet area: 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies","₹ 90 Lac+ Govt Charges & Tax
@ 6,000 per sq.ft. (All inclusive)","Vajra Towers
Bawadia Kalan, Bhopal",3rd   of 6 Floors,,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,1 to 5 Year Old
"3 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹34 Lac,"₹2,142 /sqft",Ready To Move,It's a corner flat with full air ventilation and sunlight. It's a very spacious flat and as per vastu. Reason for selling - Shifted to mumbai due to job,"Super Built up area 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 34 Lac+ Govt Charges & Tax
@ 2,142 per sq.ft. (All inclusive, Negotiable)","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",6th   of 7 Floors,,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club",5 to 10 Year Old
"4 BHK Flat in Bawadia Kalan, Bhopal",Samara Gold,₹93 Lac,"₹5,027 /sqft",Under Construction,4 bhk luxurious apartment with 4 master bedroom with attached dresing area and washroom with attached balcony and levish daining area living arey and one specious bolcony with sitout plain,"Carpet area: 1850
(171.87 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3+ Balconies","₹ 93 Lac+ Govt Charges & Tax
@ 5,027 per sq.ft. (Negotiable)","Samara Gold
Bawadia Kalan, Bhopal",7th   of 12 Floors,East,,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Sea facing,Main Road",Under Construction
"1 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹25 Lac,"₹2,774 /sqft",Ready To Move,"We are the proud owners of this 1 bhk a penthouse apartment available in sainath colony (Sarvadharm colony), kolar road, bhopal. This it is a and the unit is located on 3rd floor penthouse apartment and has a carpet area is 900 sq.Ft. Super built-Up area of 600 sq.Ft. Open space area 300 sq.Ft. Space it has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Built Up area: 900
(83.61 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","1 Bedroom , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,774 per sq.ft. View Price Details","Sarvadharm Colony
Kolar Road, Bhopal",3rd   of 3 Floors,East,,[],"['Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,5 to 10 Year Old
"2 BHK Flat in Katara Hills, Bhopal",Gauri Shankar Parisar,₹16.5 Lac,"₹2,997 /sqft",Ready To Move,"Green, bright environment. Big wide road","Carpet area: 550.37
(51.13 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 2 Balconies","₹ 16.5 Lac
@ 2,997 per sq.ft. (Negotiable)","Gauri Shankar Parisar
Katara Hills, Bhopal",4th   of 6 Floors,East,,[],"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old
"3 BHK Flat in Kolar Road, Bhopal",Sagar Homes 3,₹27 Lac,"₹2,700 /sqft",Ready To Move,"Semi furnished, good wooden work, facing kolar main road, well maintained & connected through bus and sharing auto services to around bhopal. Well connected with jk hospital and primary health centre. Nearby vishal mega mart and easily approachable to dmart etc","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac+ Govt Charges & Tax
@ 2,700 per sq.ft. (Negotiable)","Sagar Homes 3
Kolar Road, Bhopal",2nd   of 3 Floors,North,,"['5 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '1 Stove', '6 Light', '1 TV', '1 Curtains', '1 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No Chimney', 'No Exhaust Fan', 'No Modular Kitchen', 'No Wardrobe', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"3 BHK Flat in Katara Hills, Bhopal",Signature 360,₹50 Lac,"₹3,333 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in katara hills is available for sale in one of bhopal's most popular projects, signature 360. Constructed on a built up area of 1500 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 6 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The beautifully designed marble flooring enhances the beauty of the flat. The flat will offer a modern lifestyle as it is presented with many of the amenities such as fitness centre / gym, club house / community center, park and lift(s).","Built Up area: 1500
(139.35 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 50 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (Negotiable)","Signature 360
Katara Hills, Bhopal",2nd   of 6 Floors,,,[],"['Lift(s)', 'High Ceiling Height', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹22.5 Lac,"₹3,214 /sqft",Ready To Move,"Main road flat near all mall showroom , hospital, service centre","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22.5 Lac
@ 3,214 per sq.ft. (Negotiable)","Sarvadharm Colony
Kolar Road, Bhopal",1st   of 4 Floors,East,,[],"['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,10+ Year Old
