pname,society,colony,property_type,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area,zone,location,latitude,longitude
"6 Bedroom House for sale in Chhatrapati Nagar, Bhopal",chhatrapati nagar,ayodhya nagar,House,82.0,10250,Ready To Move,Bhavani dham phase 1 se laga hua hai samne mandir hai bahut acchi location me hai Side me park hai,"Plot area 800
(74.32 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",3.0,South-East,5 to 10 Year Old,"['7 Fan', '2 Geyser', '13 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage']",Main Road,6,4,3, pooja room,800.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 Bedroom House for sale in Ayodhya Bypass , Bhopal",ayodhya bypass,ayodhya bypass,House,26.0,5000,Ready To Move,"Interested to sell independent house/villa.Placed at ayodhya bypass .Nice semifurnished enhancing decorit has spacious 2 bedrooms and 3 bathrooms. .1000.00 sq.Ft.(Builtup area) , 600.00 sq.Ft.(Plot area) is the area of the propertywant to sell it for rs 2600000.It is a 0-1 years old property construction","Plot area 600
(55.74 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.",2.0,,0 to 1 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,3,0,Not Available,520.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"4 Bedroom House for sale in Gopal Nagar, Bhopal",gopal nagar sector b,patel nagar,House,79.5,4542,Ready To Move,Very spacious and well built villa at a distance of 500 meters from main road connecting piplani and raisen road. One of the best gyms of bhopal at a distance of 300 meters. Very peaceful location just in front of gharonda heights. Lots of open and empty space both at ground floor and 1st floor. Rani kamlapati railway station at exact distance of 9.5 kms from villa. Main railway station at exact distance of 15 kms from villa. Parking space for one 4 wheeler which can be converted to another room if required by purchaser,"Plot area 1750
(162.58 sq.m.)
Built Up area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.",2.0,West,10+ Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace']",,4,4,1,Not Available,1750.33,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Awadhpuri, Bhopal",regal town,awadhpuri,Flat,27.0,3683,Ready To Move,"Well maintained spacious corner 2bhk flat, proper light in all rooms , kitchen and balcony , proper ventilation in complete flat all fans and light fitting completed currently rental value is 9k-10k, want to sell plz no broker","Super Built up area 923
(85.75 sq.m.)
Carpet area: 733 sq.ft. (68.1 sq.m.)  
sq.ft.",2.0,East,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']","Park/Garden,Club,Main Road",2,2,1,Not Available,733.1,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Govindpura, Bhopal",ram complex,govindpura,Flat,25.0,3333,Ready To Move,"We are the proud owners of this 2 bhk apartment available in ram complex, govindpura, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.",0.0,,10+ Year Old,,,,2,2,1,Not Available,750.08,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 Bedroom House for sale in Gopal Nagar, Bhopal",gharonda heights,patel nagar,House,38.0,4000,Ready To Move,Well maintained room and open area in front and back and sunlight is every room and ventilation also .,"Plot area 1000
(92.9 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.",,,5 to 10 Year Old,,,,2,2,0,Not Available,950.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"9 Bedroom House for sale in Punjabi Bagh, Bhopal",punjabi bagh,govindpura,House,285.0,9500,Ready To Move,Most prime location very peaceful area,"Plot area 3000
(278.71 sq.m.)
Built Up area: 5200 sq.ft. (483.1 sq.m.)  
sq.ft.",2.0,East,10+ Year Old,,"['Water Storage', 'Visitor Parking']",Main Road,9,7,2,Not Available,3000.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Karamveer Nagar, Bhopal",karamveer nagar,piplani,House,150.0,10000,Ready To Move,"Karamveer nagar is one of bhopal's most sought after destination for residential houses and this 3 bhk house in karamveer nagar is your opportunity to be a part of this community. Constructed on a super built up area of 1500 sq.Ft., this house comprises 3 bedrooms, 2 bathrooms and 1 balcony. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.5 crore, you can become the proud owner of this independent house. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2.0,East,1 to 5 Year Old,,,,3,2,1,Not Available,1500.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 BHK Flat in Ayodhya Bypass , Bhopal",agrawal sagar landmark,ayodhya bypass,Flat,40.0,3252,Ready To Move,Semi furnished modular kitchen 1 almirah kitchen with chimney,"Super Built up area 1230
(114.27 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,2,1,Not Available,1230.01,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Karamveer Nagar, Bhopal",karamveer nagar,piplani,House,350.0,23333,Ready To Move,"Interested to sell independent house/villa.It is a 5 to 10 years old constructionplaced at karmveer nagar.2200 sq.Ft.(Builtup area) , 1500 sq.Ft.(Plot area) is the area of the propertyit has spacious 3 bedrooms and 4 bathrooms. .Want to sell it for 3.5 crore amenities:Feng shui / vaastu compliant parking space for car and bike. Washing area also available.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.",2.0,East,5 to 10 Year Old,,['Feng Shui / Vaastu Compliant'],Main Road,3,4,3," pooja room,servant room",1500.02,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 BHK Flat in Ayodhya Bypass , Bhopal",prestine the homes,ayodhya bypass,Flat,30.9,3433,Ready To Move,"For sale very urgently: 1372 sq. Ft., 3bhk spacious, luxurious, well-Maintained, unused flat near narela square, walking distance from the main road, ayodhya bypass, bhopal.","Super Built up area 1372
(127.46 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",4.0,East,5 to 10 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Rain Water Harvesting']",Others,3,2,1,Not Available,900.09,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Awadhpuri, Bhopal",vayu royal enclave 1,awadhpuri,House,56.0,7000,Ready To Move,3 bhk semi furnished duplex close campus vayu enclave avadhpuri bhopal,"Plot area 800
(74.32 sq.m.)  
sq.ft.",,North,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",Park/Garden,3,3,2," pooja room,others",800.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Awadhpuri, Bhopal",sarthak heights,awadhpuri,Flat,30.0,4285,Ready To Move,"2 bhk flat available in sarthak heights awadhpuri,","Carpet area: 700
(65.03 sq.m.)  
sq.ft.",3.0,,5 to 10 Year Old,,['Lift(s)'],,2,2,1,Not Available,700.12,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"4 Bedroom House for sale in Awadhpuri, Bhopal",awadhpuri,awadhpuri,House,81.0,6881,Ready To Move,"150 m from the main road, krishna mandir , near park ,","Plot area 1177
(109.35 sq.m.)  
sq.ft.",2.0,East,0 to 1 Year Old,,"['Park', 'Visitor Parking']",Park/Garden,4,2,2, pooja room,1177.15,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Awadhpuri, Bhopal",regal town,awadhpuri,Flat,25.0,3410,Ready To Move,"This 2 bhk apartment is available for sale in regal town, one of the most prominent projects for flats in awadhpuri, bhopal. The flat is over 733 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 7 floors and this property is situated on 5th floor. This is a ready to move project and the property is 5-10 years old. All the modern amenities such as swimming pool, fitness centre / gym, park, shopping centre and lift(s) will make life easier for you.","Carpet area: 733
(68.1 sq.m.)  
sq.ft.",5.0,,5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']",,2,2,1,Not Available,733.14,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"9 Bedroom House for sale in Rachna Nagar, Bhopal",rachna nagar,govindpura,House,180.0,3830,Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 9 bhk house in rachna nagar, which is an ideal choice for a family. Containing 9 bedrooms, 7 bathrooms , this independent house is spread over a built up area of 4700 sq.Ft. This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.8 crore, you can become the proud owner of this independent house.","Built Up area: 4700
(436.64 sq.m.)  
sq.ft.",3.0,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,9,7,0,Not Available,4699.74,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Ayodhya Bypass , Bhopal",amaltas westminster,ayodhya bypass,Flat,25.0,6250,Under Construction,"The property is located at a premium location with all the amenities like gym, swimming pool, jogging track available. School, hospital, and mall is located at the nearest and railway station is just 6km away, the property is surrounded by premiere residency like people's highrise, coral casa and premiere orchard.","Built Up area: 430
(39.95 sq.m.)
Carpet area: 400 sq.ft. (37.16 sq.m.)  
sq.ft.",7.0,,,,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Club,Park/Garden",2,1,1,Not Available,400.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 Bedroom House for sale in Ayodhya Nagar, Bhopal",ayodhya nagar,ayodhya bypass,House,24.0,3692,Ready To Move,Ghar me independent tubel h or two rooms or one hall aur one bathroom h,"Plot area 650
(60.39 sq.m.)  
sq.ft.",1.0,,1 to 5 Year Old,,,,2,1,1,Not Available,650.05,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 BHK Flat in Awadhpuri, Bhopal",regal town,awadhpuri,Flat,36.0,3478,Ready To Move,"This 3 bhk flat is located in regal town, which houses some of the most spacious flats in awadhpuri, bhopal. This residential flat is north-Facing direction. The flat occupies a super built up area of 1035 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat is situated on the 4th floor of this 7 floors tall residential building. This is a ready to move project and the property is 5-10 years old. The well built vitrified flooring enhances the aesthetic appeal of this flat. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, park, shopping centre, lift(s) and visitor parking. Borewell/tank provides a regular supply of water to this residential project.","Super Built up area 1035
(96.15 sq.m.)  
sq.ft.",4.0,North,5 to 10 Year Old,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']","Pool,Park/Garden,Club,Main Road",3,3,3,Not Available,1035.08,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Awadhpuri, Bhopal",deep shree homes awadhpuri,awadhpuri,House,75.0,7142,Ready To Move,"This 3 bhk house for sale in awadhpuri, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. The house has over super built up area of 1050 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 1 balcony. There is 1 covered & 2 open parking available with this house. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. This independent house is available at an attractive price of 75 lac. All the modern amenities such as maintenance staff, visitor parking and park will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 1050
(97.55 sq.m.)  
sq.ft.",2.0,East,5 to 10 Year Old,,"['Maintenance Staff', 'Park', 'Visitor Parking']","Park/Garden,Main Road",3,2,1, others,1050.13,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"4 Bedroom House for sale in Awadhpuri, Bhopal",awadhpuri,awadhpuri,House,80.0,6666,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in awadhpuri, bhopal. Available at price of rs 80 lacs. It has plot area of 1200 sq ft. It has 4 bhk, 2 bathroom, 2 balcony.It is a freehold property","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1.0,,5 to 10 Year Old,,,,4,2,2,Not Available,1200.12,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Patel Nagar, Bhopal",archana balaji towers,patel nagar,Flat,25.0,2500,Ready To Move,"We are the proud owners of this 2 bhk apartment available in archana balaji towers, patel nagar, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,,,2,2,2,Not Available,1000.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Sonagiri, Bhopal",sonagiri chanchal nagar,piplani,House,85.0,8500,Ready To Move,"Newly construction duplex for sale in chanchal nagar, sonagiri, bhopal Plot carpet area 1000 sq.Ft.","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2.0,,10+ Year Old,"['1 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,1000.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Awadhpuri, Bhopal",awadhpuri,awadhpuri,House,70.0,8750,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in awadhpuri, a well-Planned and well-Connected locality in bhopal. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 800 sq.Ft. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. The price of this spacious independent house is 70 lac. The house will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff, visitor parking and park. The residents of this house enjoy a 24*7 access to clean water. This property faces the east direction.","Plot area 800
(74.32 sq.m.)  
sq.ft.",2.0,East,1 to 5 Year Old,"['5 Fan', '5 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road,Others",3,3,2,Not Available,800.0,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 BHK Flat in Ayodhya Bypass , Bhopal",agrawal sagar lakeview homes,ayodhya bypass,Flat,60.0,3896,Ready To Move,3 bhk flat at the top floor..Terrace attached,"Super Built up area 1540
(143.07 sq.m.)  
sq.ft.",5.0,North,1 to 5 Year Old,,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,3,3,3,Not Available,1540.04,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 BHK Flat in Awadhpuri, Bhopal",rkn nakshatra enclave,awadhpuri,Flat,35.0,3181,Ready To Move,"3bhk semi furnished near by school, collage, bank, atm and bus stop","Built Up area: 1100
(102.19 sq.m.)
Carpet area: 960 sq.ft. (89.19 sq.m.)  
sq.ft.",5.0,,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,2,1,Not Available,1100.28,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Awadhpuri, Bhopal",girnar hills,awadhpuri,Flat,17.5,2755,Ready To Move,2 bhk flat well furnished flat,"Super Built up area 635
(58.99 sq.m.)  
sq.ft.",5.0,,5 to 10 Year Old    View Construction Status,"['1 Fan', '1 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","Park/Garden,Club,Main Road,Sea facing",2,2,2, view floor plan,635.21,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Ayodhya Nagar, Bhopal",ayodhya nagar,ayodhya bypass,House,92.0,8363,Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in ayodhya nagar, which is an ideal choice for a family. This house occupies a super built up area of 1100 sq.Ft. And contains 3 bedrooms, 3 bathrooms . As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 92 lac.","Plot area 1100
(102.19 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.",2.0,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,3,0,Not Available,1100.08,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Khajuri Kalan , Bhopal",kalyani kunj tower,khajuri kalan,Flat,25.0,3373,Ready To Move,"02 bhk flat are available in kalyani kunj 1. Sunrise view 2 balcony open fo all rooftop with acupunture walking tracks. 2. 02 times water supply, 24 hrs round the clock security 3. Near 04 lane khajuri kalan road. 4. Separate parking with numbering and open parking for all.","Built Up area: 741
(68.84 sq.m.)  
sq.ft.",6.0,,1 to 5 Year Old,"['1 Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Rain Water Harvesting']",,2,2,1,Not Available,741.18,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"7 Bedroom House for sale in Awadhpuri, Bhopal",awadhpuri,awadhpuri,House,115.0,10492,Ready To Move,"The interior of the property and the materials used to build it.. Everything is well organized and used in a beautiful way... The nearby area is also good. The market, market, school and hospital are within your reach... This arrangement makes the property special..","Plot area 1096
(101.82 sq.m.)
Built Up area: 2950 sq.ft. (274.06 sq.m.)  
sq.ft.",2.0,North,1 to 5 Year Old,"['6 Bed', '6 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Stove', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",Park/Garden,7,5,3, pooja room,1096.07,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"4 Bedroom House for sale in Bharat Nagar, Indrapuri, Bhopal",bharat nagar indrapuri,piplani,House,230.0,9583,Ready To Move,"8hrs water supply,near jk road,7km bhopal railway station","Plot area 2400
(222.97 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.",1.0,West,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Waste Disposal']",Park/Garden,4,2,0, others,2400.08,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 Bedroom House for sale in Ayodhya Bypass , Bhopal",ayodhya bypass,ayodhya bypass,House,45.0,6428,Ready To Move,Coverd campus nice society For your new house,"Plot area 700
(65.03 sq.m.)  
sq.ft.",2.0,East,1 to 5 Year Old,,"['Water Storage', 'Park']","Park/Garden,Main Road",2,2,1,Not Available,700.06,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"5 Bedroom House for sale in Ayodhya Nagar, Bhopal",ayodhya nagar,ayodhya bypass,House,96.0,5333,Ready To Move,"This property good spacious to park four wheeler+ 3-4 two wheelers at a time.Well covered by boundary wall,and high gate. Infront of this well wide road around 30 ' .This property has been renovated by replacing old mozik floors by vitrified tiles.Property is well maintained in status. Colony is having very good gentry. It is very near to well known convent school which named st.Thomas sr.Secondary convent school. Coloney has well connectivity to isbt, rani kamalapati railway station & main railway station,bhopal.At the same time bhopal airport is only 25 minutes away from property. There is availability of plenty of fresh vegetables shops..And weekly very big vegetable & fruit market which is visited by other surrounding localities. So it is very good from every corner.","Plot area 1500
(139.35 sq.m.)
Built Up area: 2590 sq.ft. (240.62 sq.m.)  
sq.ft.",1.0,North-East,10+ Year Old,"['2 Bed', '1 Water Purifier', '1 Fan', '1 Sofa', '1 Exhaust Fan', '1 Microwave', '1 Light', '1 TV', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Fridge', 'No Stove', 'No Wardrobe', 'No Washing Machine']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",,5,3,1, pooja room,1800.11,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 BHK Flat in Indrapuri, Bhopal",shridhar mohini parisar,piplani,Flat,22.0,3666,Ready To Move,"Good public transport, markets at walkable distance, happening place, high rental yield, good for investment, globus university in vicinity, spacious and airy apartment","Built Up area: 780
(72.46 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",3.0,,10+ Year Old,,"['Water Storage', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre']",Main Road,2,2,1,Not Available,600.11,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"2 Bedroom House for sale in Indrapuri, Bhopal",manglam group gokul residency,piplani,House,86.0,7166,Ready To Move,"Looking for buyer to purchase our house/villa available for sale in katara hills, bhopal. Available at price of rs 86 lacs. It has plot area of 1200 sq ft. It has 2 bhk, 3 bathroom, balcony.It is a freehold property","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1.0,,1 to 5 Year Old,,,,2,3,0,Not Available,1200.11,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
"3 Bedroom House for sale in Awadhpuri, Bhopal",regal paradise,awadhpuri,House,70.0,7070,Under Construction,3bhk duplex under construction plot size 22x45 = 990 sq.Ft. In @ 70 lacs rs,"Plot area 990
(91.97 sq.m.)  
sq.ft.",2.0,,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,3,2, pooja room,990.1,East Bhopal (BHEL & Industrial Belt),East Bhopal (BHEL & Industrial Belt),23.2985,77.4326
