pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Possession in,furnishing,features,ratings,Property Age,Facing
"4 BHK Flat in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹72 Lac,"₹4,000 /sqft",Ready To Move,"Looking for a 4 bhk property for sale in bhopal? Buy this 4 bhk flat in agrawal sagar premium towers that is situated in shirdipuram, bhopal. The flat is east-Facing. Constructed on a super built up area of 1995 sq.Ft., the flat comprises 4 bedroom(s), 3 bathrooms and 1 balcony. The property is located on the lower ground floor of a 7 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The beautifully designed others flooring enhances the beauty of the flat. The society is well equipped with many modern amenities, including swimming pool, club house / community center, fitness centre / gym, park and lift(s).","Super Built up area 1800
(167.23 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 72 Lac+ Govt Charges & Tax
@ 4,000 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",1st   of 7 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],5 to 10 Year Old,East
"4 BHK Flat in Bypass Road, Bhopal",Dwarka Dham,₹55 Lac,"₹2,938 /sqft",Ready To Move,"4 bath, unfurnished, 2nd floor (Of 5), dwarka dham bhopal bypass road","Built Up area: 1872
(173.91 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, No Balcony","₹ 55 Lac
@ 2,938 per sq.ft.","Dwarka Dham
Bypass Road, Bhopal",2nd   of 2 Floors,,undefined,[],[],[],,
"4 BHK Flat in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹75 Lac,"₹4,411 /sqft",Ready To Move,"4bhk corner flat (Penthouse) with 900 sq.Ft personal terrace , Total 2600sq.Ft = 1700sq.Ft super built up area + 900sq.Ft terrace","Super Built up area 1700
(157.94 sq.m.)
Carpet area: 1291 sq.ft. (119.94 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 75 Lac
@ 4,411 per sq.ft. (Negotiable)","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",7th   of 7 Floors,,,"['1 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",[],5 to 10 Year Old,
"3 BHK Flat in Barkhedi, Bhopal",Bhopal Mahalaxmi Awasiy Parisar,₹55 Lac,"₹3,928 /sqft",Ready To Move,2 bhk new spacious ready to move flat for sale Prime location of central bhopal Nearby pul bogda metro junction Situated on main 100 ft wide road,"Super Built up area 1500
(139.35 sq.m.)
Built Up area: 1450 sq.ft. (134.71 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac+ Govt Charges & Tax
@ 3,928 per sq.ft.","Bhopal Mahalaxmi Awasiy Parisar
Barkhedi, Bhopal",3rd   of 10 Floors,"Park/Garden,Main Road,Club",,[],[],[],0 to 1 Year Old,East
"3 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹69 Lac,"₹4,162 /sqft",Ready To Move,"For sale: A pristine, unused 3bhk apartment in the esteemed sagar lakeview homes, ayodhya bypass, bhopal. This semi-Furnished residence boasts a luxurious interior with exquisite lighting, sliding-Door cupboards, and an additional storeroom. There are four spacious balconies. The community offers an array of amenities including a clubhouse, swimming pools, sports facilities, a garden, a community hall, and a dedicated play area for kids. Located in a safe urban area with 24/7 cctv surveillance and a gated entrance, this apartment combines elegance and security for a perfect living experience.","Super Built up area 1802
(167.41 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Store Room","₹ 69 Lac+ Govt Charges & Tax
@ 4,162 per sq.ft. (All inclusive, Negotiable)","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",3rd   of 6 Floors,"Pool,Park/Garden,Club,Main Road",,"['4 Wardrobe', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹29.5 Lac,"₹2,166 /sqft",Ready To Move,"Ready to move all aminities avalable spring velly katara hills, bhopal, madhya pradesh, india","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 29.5 Lac
@ 2,166 per sq.ft. View Price Details","Asnani Spring Valley Dew
Katara Hills, Bhopal",3rd   of 6 Floors,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",0 to 1 Year Old    View Construction Status,North-West
"2 BHK Flat in Nehru Nagar , Bhopal",LIG Flats,₹25 Lac,"₹5,000 /sqft",Ready To Move,Covered campus well maintained colony,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 25 Lac
@ 5,000 per sq.ft. (Negotiable)","LIG Flats
Nehru Nagar , Bhopal",Ground of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Divine City,₹39 Lac,"₹4,362 /sqft",Ready To Move,"2bhk flat 2 balconies 2 bathroom, indian and western Safety door Modular kitchen Wardrobe in both the bedrooms Gas connection with stove Refrigerator Sofa East facing","Super Built up area 894
(83.06 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 39 Lac+ Govt Charges & Tax
@ 4,362 per sq.ft. (Negotiable)","Fortune Divine City
Hoshangabad Road, Bhopal",6th   of 6 Floors,Park/Garden,,"['3 Fan', '3 Light', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,East
"3 BHK Flat in Indus Towne, Bhopal",British Park,₹42 Lac,"₹2,228 /sqft",Ready To Move,"3 bath, semi-Furnished, 5th floor (Of 8), 53 car parking, british park rm 053.","Built Up area: 1885
(175.12 sq.m.)
Carpet area: 1750 sq.ft. (162.58 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 42 Lac
@ 2,228 per sq.ft. View Price Details","British Park
Indus Towne, Bhopal",5th   of 8 Floors,,undefined,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Chowki Talaiya, Bhopal",Kaushal apartment bhopal,₹35 Lac,"₹4,861 /sqft",Ready To Move,As property is available in posh area so everything is near,"Carpet area: 720
(66.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 4,861 per sq.ft.","Kaushal apartment bhopal
Chowki Talaiya, Bhopal",4th   of 5 Floors,Main Road,,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Geyser', '15 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Stove']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']",[],1 to 5 Year Old,East
