pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹35 Lac,"₹3,500 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,Near school college hospital Railway station 5 kms Near bda road,"Plot area 1000
(92.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 35 Lac+ Govt Charges & Tax
@ 3,500 per sq.ft. (Negotiable)","Awadhpuri, Bhopal",North,1.0,Main Road,Immediate,,,,,3 Floors,
"Residential land / Plot in Neelbad, Bhopal",Mahaveer vihar,₹30 Lac,"₹3,000 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,"Property in prime location at mahaveer vihar 350 meter from neelbad chowk. Covered campus with all key facilities e,g., light, narmada water supply, concrete road.","Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 30 Lac
@ 3,000 per sq.ft. (All inclusive)","Mahaveer vihar
Neelbad, Bhopal",West,1.0,"Main Road,Others",Immediate,,,,,0 Floors,
"Residential land / Plot in Gora Gaon, Bhopal","Gora Gaon, Bhopal",₹15 Lac,"₹1,500 /sqft","1,000 sqft",(93 sqm),Plot Area,Under Construction,Bhavana parishar phase 5 All facilities available Narmada line Sewage line Cc road 24 hours electricity Permanent meter Mandir garden Under nagar nigam,"Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 15 Lac+ Govt Charges & Tax
@ 1,500 per sq.ft. (All inclusive, Negotiable)","Gora Gaon, Bhopal",East,1.0,"Park/Garden,Main Road",Within 3 months,,,,,0 Floors,
"Residential land / Plot in BDA Colony, Bhopal","BDA Colony, Bhopal",₹1.4 Cr,"₹1,400 /sqft","10,000 sqft",(929 sqm),Plot Area,Ready To Move,Undiverted famland for sale for investment as well as current usage,"Plot area 10000
(929.03 sq.m.)  
sq.ft.","₹ 1.4 Crore
@ 1,400 per sq.ft. (Negotiable)","BDA Colony, Bhopal",,4.0,,Immediate,No,,,,,
"Residential land / Plot in Bhanpur, Bhopal",People World,₹56 Lac,"₹2,800 /sqft","2,000 sqft",(186 sqm),Plot Area,Ready To Move,"I am looking for buyer to purchase land available for sale in bhanpur, bhopal. Available at price of rs 5600000. It has plot area of 2000.Sq ft. It is a freehold property","Plot area 2000
(185.81 sq.m.)
l x b : 80.00 ft.(24.38 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 56 Lac+ Govt Charges & Tax
@ 2,800 per sq.ft.","People World
Bhanpur, Bhopal",East,1.0,Main Road,Immediate    View Construction Status,,Yes,,,,
"Residential land / Plot in Indus Towne, Bhopal",Ishaan Grand Estate,₹32 Lac,"₹2,909 /sqft","1,100 sqft",(102 sqm),Plot Area,Ready To Move,Plot west facing in ishan grand hosangabad road,"Plot area 1100
(102.19 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 32 Lac+ Govt Charges & Tax
@ 2,909 per sq.ft. (Negotiable)","Ishaan Grand Estate
Indus Towne, Bhopal",West,1.0,,Immediate,No,Yes,,,,
"Residential land / Plot in Misrod, Bhopal",The C21 Mall,₹47 Lac,"₹4,973 /sqft",945 sqft,(88 sqm),Plot Area,Ready To Move,"Lush green gardens , gated campus. 24 hr security proper internal road and developed campus with 24 hr suitable security arrangements and boundary wall. Grand entrance gate with security room. Underground electrification. Adequate water supply through sump-Well. Wide concrete roads. Elegant street lights. Landscaped gardens and fountains. Beautiful paved block garden pathways. Temple. Lush gree...","Plot area 945
(87.79 sq.m.)
l x b : 45.00 ft.(13.72 mt.) x 21.00 ft.(6.40 mt.)  
sq.ft.","₹ 47 Lac
@ 4,973 per sq.ft. (All inclusive, Negotiable)","The C21 Mall
Misrod, Bhopal",West,3.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Katara Hills, Bhopal","Katara Hills, Bhopal",₹12 Lac,"₹1,200 /sqft","1,000 sqft",(93 sqm),Plot Area,Under Construction,"Plot for sale in katara hills is available in bhopal. This locality resonates with your modern lifestyle. It's a 1000 sq.Ft. Super built up area property. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received within 3 months. The type of ownership is freehold. The price of this massive plot is just 12 lac.","Plot area 1000
(92.9 sq.m.)
l x b : 20.00 ft.(6.10 mt.) x 5.00 ft.(1.52 mt.)  
sq.ft.","₹ 12 Lac
@ 1,200 per sq.ft. (All inclusive)","Katara Hills, Bhopal",,1.0,,Within 3 months,Yes,,,,0 Floors,
"Residential land / Plot in Kolar, Bhopal","Kolar, Bhopal",₹1.65 Cr,"₹1,500 /sqft","11,000 sqft","(1,022 sqm)",Plot Area,Ready To Move,Looking for a plot in a prime location of bhopal? This plot in kolar is the best deal for you. The plot is around super built up area of 11000 sq.Ft. In size. This property allows you to construct upto 5 floors. Expected possession of property immediately. The property is owned under freehold contract. The plot is available at a price of 1.65 crore. The owner is open for negotiation. This prope...,"Plot area 11000
(1021.93 sq.m.)  
sq.ft.","₹ 1.65 Crore+ Govt Charges & Tax
@ 1,500 per sq.ft. (All inclusive, Negotiable)","Kolar, Bhopal",East,4.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Gopal Nagar, Bhopal","Gopal Nagar, Bhopal",₹59.8 Lac,"₹2,600 /sqft","2,300 sqft",(214 sqm),Plot Area,Under Construction,"Check out this plot for sale in gopal nagar, one of the best locations in bhopal. The plot is around super built up area of 2300 sq.Ft. In size. No delay in acquiring possession. It's a ready to move property. The property belongs to owner through freehold ownership. This residential plot is all yours for 59.8 lac.","Plot area 2300
(213.68 sq.m.)  
sq.ft.","₹ 59.8 Lac
@ 2,600 per sq.ft. View Price Details","Gopal Nagar, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Airport Road, Bhopal","Airport Road, Bhopal",₹25 Lac,₹500 /sqft,"5,000 sqft",(465 sqm),Plot Area,Ready To Move,"Premium farmhouse plots for sale near airport | bhopal road Looking for the perfect weekend getaway or a smart investment? Farmhouse plots available: 5k sqft to 1 acre Just 7 km from the airport, and only 1 km from bhopal main road Touching lamhe farm house, adjacent to ahsaan farm house Corner plot road touch + scenic hill view Opposite bsf gate and land, with direct road access Surrounded by ...","Plot area 5000
(464.52 sq.m.)
l x b : 86.00 ft.(26.21 mt.) x 63.00 ft.(19.20 mt.)  
sq.ft.","₹ 25 Lac+ Govt Charges & Tax
@ 500 per sq.ft. (Negotiable)","Airport Road, Bhopal",North-East,3.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Sukhi Sewania, Bhopal","Sukhi Sewania, Bhopal",₹7 Lac,₹777 /sqft,900 sqft,(84 sqm),Plot Area,Ready To Move,900 sqft corner plot garden facing plot in covered campus behind surbhi college vidisha road near sukhi sewania station,"Plot area 900
(83.61 sq.m.)  
sq.ft.","₹ 7 Lac
@ 777 per sq.ft.","Sukhi Sewania, Bhopal",,,,Immediate,Yes,Yes,30.0 Feet,,,
"Residential land / Plot in Rajharsh Colony, Bhopal","Rajharsh Colony, Bhopal",₹6 Cr,"₹3,000 /sqft","20,000 sqft","(1,858 sqm)",Plot Area,Ready To Move,"1, near dmart square .","Plot area 20000
(1858.06 sq.m.)  
sq.ft.","₹ 6 Crore
@ 3,000 per sq.ft. (Negotiable)","Rajharsh Colony, Bhopal",North,1.0,"Park/Garden,Main Road,Others",,,,,Yes,,Yes
"Residential land / Plot in Bairagarh, Bhopal",Chirayu Hospital,₹7 Lac,₹700 /sqft,"1,000 sqft",(93 sqm),Plot Area,Under Construction,"I am looking for buyer to purchase land available for sale in bhainsakhedi, indore. Available at price of rs 7 lacs. It has plot area of 1000 sq ft. It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 7 Lac
@ 700 per sq.ft.","Chirayu Hospital
Bairagarh, Bhopal",,,,Dec 2026,No,,,,,
"Residential land / Plot in Taraisewaniya, Bhopal","Taraisewaniya, Bhopal",₹1.1 Cr,₹146 /sqft,"75,000 sqft","(6,968 sqm)",Plot Area,Ready To Move,Its nearby airport and between the green area,"Plot area 75000
(6967.73 sq.m.)
l x b : 470.00 ft.(143.25 mt.) x 125.00 ft.(38.10 mt.)  
sq.ft.","₹ 1.1 Crore
@ 146 per sq.ft. (All inclusive)","Taraisewaniya, Bhopal",,3.0,,Immediate,Yes,,,,0 Floors,
"Residential land / Plot in Bhauri, Bhopal","Bhauri, Bhopal",₹30 Lac,"₹2,400 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,The plot is located near indore mp nagar bypass and police academy,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","₹ 30 Lac
@ 2,400 per sq.ft. (Negotiable)","Bhauri, Bhopal",,4.0,,Immediate,Yes,,,,,
"Residential land / Plot in Data Colony, Bhopal","Data Colony, Bhopal",₹1.65 Cr,"₹2,538 /sqft","6,500 sqft",(604 sqm),Plot Area,Ready To Move,"Prime corner plot for sale. Ideal for warehouse or commercial shops Unlock the potential of this premium corner plot, strategically located with road access on two sides, offering maximum visibility and ease of access. Situated opposite the revered hanuman mandir, near petrol pump (100 meters away), this plot is perfectly positioned for commercial ventures such as warehouses, retail outlets, or...","Plot area 6500
(603.87 sq.m.)  
sq.ft.","₹ 1.65 Crore+ Govt Charges & Tax
@ 2,538 per sq.ft.","Data Colony, Bhopal",,2.0,,Immediate,Yes,,,,,Yes
"Residential land / Plot in Hinotiya Alam, Bhopal","Hinotiya Alam, Bhopal",₹20 Lac,"₹4,192 /sqft",477 sqft,(44 sqm),Plot Area,Ready To Move,"We are the proud owners of this 0 bhk apartment available in , hinotiya alam, bhopal. This is a . Price on request. It is a resale and a ready to move in apartment. The unit is located on null floor and has . It has bathroom(s). The ownership is freehold type. The property has water storage. It overlooks a 25.00 sq.Ft. Wide road.","Plot area 477
(44.31 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 16.00 ft.(4.88 mt.)  
sq.ft.","₹ 20 Lac+ Govt Charges & Tax
@ 4,192 per sq.ft.","Hinotiya Alam, Bhopal",East,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in Kolar Road, Bhopal",Fortune Blue Ridge,₹23.5 Lac,"₹3,088 /sqft",761 sqft,(71 sqm),Plot Area,Ready To Move,"Prime residential plot for sale kolar six lane highway - Fortune blue ridge Own a piece of prime real estate on the rapidly developing kolar six lane highway. This well-Located residential plot offers an excellent investment opportunity or the perfect location to build your dream home. Strategic location: Situated right on the kolar six lane highway, ensuring seamless connectivity to surroundin...","Plot area 761
(70.7 sq.m.)  
sq.ft.","₹ 23.5 Lac+ Govt Charges & Tax
@ 3,088 per sq.ft. (Negotiable)","Fortune Blue Ridge
Kolar Road, Bhopal",West,1.0,,Immediate    View Construction Status,No,Yes,,,,
"Residential land / Plot in Kolar Road, Bhopal",Fortune Blue Ridge,₹26.6 Lac,"₹3,500 /sqft",760 sqft,(71 sqm),Plot Area,Ready To Move,15x52 plot size plot. East facing. C- Block,"Plot area 760
(70.61 sq.m.)  
sq.ft.","₹ 26.6 Lac+ Govt Charges & Tax
@ 3,500 per sq.ft.","Fortune Blue Ridge
Kolar Road, Bhopal",East,1.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Amjhira, Bhopal","Amjhira, Bhopal",₹22.68 Lac,₹450 /sqft,"5,040 sqft",(468 sqm),Plot Area,Ready To Move,Near farmhouse 1 indian oil petrol pump around 300 mtrs And 100 mtr batra nuring college and also gov. Mandi,"Plot area 5040
(468.23 sq.m.)  
sq.ft.","₹ 22.68 Lac
@ 450 per sq.ft. (Negotiable)","Amjhira, Bhopal",East,1.0,,Immediate,No,,60.0 Feet,,,
"Residential land / Plot in shamli, Bhopal","shamli, Bhopal",₹32 Lac,"₹2,560 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,"I have a land available for sale in bypass road, shamli. Available at price of rs 32 lacs. It has plot area of 1250 sq ft. It is a freehold property","Plot area 1250
(116.13 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 32 Lac+ Govt Charges & Tax
@ 2,560 per sq.ft. (All inclusive, Negotiable)","shamli, Bhopal",West,1.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Khajuri Kalan , Bhopal","Khajuri Kalan , Bhopal",₹18.5 Lac,"₹2,039 /sqft",907 sqft,(84 sqm),Plot Area,Ready To Move,907 squire feet corner plot near kalyani kunj khajuri kalan Diversion certificate Namantaran from najul Namantaran from municipal corporation,"Plot area 907
(84.26 sq.m.)
l x b : 46.50 ft.(14.17 mt.) x 19.50 ft.(5.94 mt.)  
sq.ft.","₹ 18.5 Lac
@ 2,039 per sq.ft. (Negotiable)","Khajuri Kalan , Bhopal",,2.0,,Immediate,No,,,Yes,,
"Residential land / Plot in Kolar, Bhopal","Kolar, Bhopal",₹1.16 Cr,"₹4,000 /sqft","2,900 sqft",(269 sqm),Plot Area,Ready To Move,Selling the plot for making house and commercial purpose,"Plot area 2900
(269.42 sq.m.)
l x b : 45.00 ft.(13.72 mt.) x 6.00 ft.(1.83 mt.)  
sq.ft.","₹ 1.16 Crore
@ 4,000 per sq.ft. (Negotiable)","Kolar, Bhopal",North-West,3.0,"Park/Garden,Main Road,Others,Club",Immediate,,,,,,Yes
"Residential land / Plot in Amrawad Khurd, Bhopal",Wazir Amravad Residency,₹56.5 Lac,"₹4,520 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,"The land is in a covered campus. The environment here is very peaceful and clean. There is a garden in front of the plot, water facility is available, and most importantly, it is a secure place.","Plot area 1250
(116.13 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 56.5 Lac+ Govt Charges & Tax
@ 4,520 per sq.ft. (All inclusive, Negotiable)","Wazir Amravad Residency
Amrawad Khurd, Bhopal",West,3.0,"Park/Garden,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Huzur, Bhopal",Semanti Capital Greens,₹30 Lac,"₹2,054 /sqft","1,460 sqft",(136 sqm),Plot Area,Ready To Move,Its a closed gated colony with crpf camp and colony in front side.,"Plot area 1460
(135.64 sq.m.)  
sq.ft.","₹ 30 Lac
@ 2,054 per sq.ft. (All inclusive, Negotiable)","Semanti Capital Greens
Huzur, Bhopal",,2.0,"Park/Garden,Club,Main Road,Others",Immediate,,Yes,,Yes,,
"Residential land / Plot in Gora Gaon, Bhopal","Gora Gaon, Bhopal",₹14 Cr,₹918 /sqft,"1,52,460 sqft","(14,164 sqm)",Plot Area,Ready To Move,"Location - Gora gawn, infront of sai accademy Main road property, Corner plot, 2 side road Front - 150 feet Side road front - 850 feet.","Plot area 3.5
(14164.01 sq.m.)  
acres","₹ 14 Crore
@ 4,00,00,000 per acres","Gora Gaon, Bhopal",,2.0,Main Road,Immediate,Yes,,,,0 Floors,
"Residential land / Plot in Huzur, Bhopal",BDA Aerocity Phase 1,₹36 Lac,"₹2,400 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Plot is located in a very good location,"Plot area 1500
(139.35 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 5.00 ft.(1.52 mt.)  
sq.ft.","₹ 36 Lac
@ 2,400 per sq.ft. (Negotiable)","BDA Aerocity Phase 1
Huzur, Bhopal",,1.0,,Immediate,No,,,,0 Floors,
"Residential land / Plot in Phanda Kala, Bhopal","Phanda Kala, Bhopal",₹10 Lac,"₹1,000 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,Covered campus with more than 3000 plots. The plot is garden facing and 50m from society entrance. The plot is near to proposed commercial complex. The plot is on 12m wide road,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 10 Lac
@ 1,000 per sq.ft.","Phanda Kala, Bhopal",,1.0,,Immediate,No,Yes,39.4 Feet,,,
"Residential land / Plot in Ayodhya Bypass , Bhopal",Abhinav Homes Phase 4,₹4 Cr,"₹4,000 /sqft","10,000 sqft",(929 sqm),Plot Area,Under Construction,"We have a land available for sale in bypass road, ayodhya. Available at price of rs 4 crores. It has plot area of 10000 sq ft. It is a freehold property. Tcd homes.","Plot area 10000
(929.03 sq.m.)  
sq.ft.","₹ 4 Crore
@ 4,000 per sq.ft.","Abhinav Homes Phase 4
Ayodhya Bypass , Bhopal",,,,Dec 2025,No,,,,,
"Residential land / Plot in Barkheda Nathu, Bhopal","Barkheda Nathu, Bhopal",₹66 Lac,"₹1,200 /sqft","5,500 sqft",(511 sqm),Plot Area,Ready To Move,"It is a growing area in bhopal, plot size is big to construct a bungalow","Plot area 5500
(510.97 sq.m.)  
sq.ft.","₹ 66 Lac
@ 1,200 per sq.ft. (Negotiable)","Barkheda Nathu, Bhopal",,1.0,,Immediate,No,,,Yes,,
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹17 Lac,"₹1,700 /sqft","1,000 sqft",(93 sqm),Plot Area,Under Construction,Good connectivity to new market 40feet damar road 25feet side road Sibej line Water line Electricity connection Marriage garden Shree ram mandir Shree jain mandir Street light Coverd campus,"Plot area 1000
(92.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 17 Lac
@ 1,700 per sq.ft. (Negotiable)","Neelbad, Bhopal",East,2.0,"Main Road,Park/Garden,Others",,,Yes,,,,Yes
"Residential land / Plot in Sikandrabad, Bhopal","Sikandrabad, Bhopal",₹45 Lac,₹500 /sqft,"9,000 sqft",(836 sqm),Plot Area,Ready To Move,"Planning to purchase a plot in bhopal? This plot in sikandrabad is situated in one of the excellent locations of the city. It spreads over 9000 sq.Ft. Super built up area. To build the residence, possession is expected immediately. The owner of the property has freehold entitlement over the land. The asking price is only 45 lac. Negotiable. This residential plot is east-Facing direction.","Plot area 9000
(836.13 sq.m.)  
sq.ft.","₹ 45 Lac
@ 500 per sq.ft. (Negotiable)","Sikandrabad, Bhopal",East,4.0,,Immediate,No,,20.0 Feet,,,
"Residential land / Plot in Bhanpur, Bhopal",People World,₹56 Lac,"₹2,800 /sqft","2,000 sqft",(186 sqm),Plot Area,Ready To Move,"I am looking for buyer to purchase land available for sale in bhanpur, bhopal. Available at price of rs 5600000. It has plot area of 2000.Sq ft. It is a freehold property","Plot area 2000
(185.81 sq.m.)
l x b : 80.00 ft.(24.38 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 56 Lac+ Govt Charges & Tax
@ 2,800 per sq.ft.","People World
Bhanpur, Bhopal",East,1.0,Main Road,Immediate    View Construction Status,,Yes,,,,
"Residential land / Plot in Jatkhedi, Bhopal","Jatkhedi, Bhopal",₹42 Lac,"₹4,200 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,Plot at good location in jatkhedi on hoshangabad road,"Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 42 Lac
@ 4,200 per sq.ft. View Price Details","Jatkhedi, Bhopal",West,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in Sant Ashram Nagar, Bhopal","Sant Ashram Nagar, Bhopal",₹80 Lac,"₹5,333 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Plot 1500 sq ft near digambar jain mandir in sant asharam nagar . 1 km from ashima mall, Nearby park, gym, market, school all settled clean society .","Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 80 Lac+ Govt Charges & Tax
@ 5,333 per sq.ft. (All inclusive)","Sant Ashram Nagar, Bhopal",East,1.0,"Park/Garden,Main Road",Immediate,,,,,3 Floors,
"Residential land / Plot in Yashoda Vihar Colony, Bhopal","42, Nirmal Kalpana Socity",₹95 Lac,"₹7,916 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Best property in chuna bhatti area,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","₹ 95 Lac+ Govt Charges & Tax
@ 7,916 per sq.ft. (Negotiable)","42, Nirmal Kalpana Socity
Yashoda Vihar Colony, Bhopal",East,1.0,,Immediate,Yes,,,Yes,,
"Residential land / Plot in Patel Nagar, Bhopal","Patel Nagar, Bhopal",₹1.05 Cr,"₹3,888 /sqft","2,700 sqft",(251 sqm),Plot Area,Ready To Move,Semi commercial park facing south plot for sale in patel nagar raisen road bhopal.,"Plot area 2700
(250.84 sq.m.)
l x b : 75.00 ft.(22.86 mt.) x 36.00 ft.(10.97 mt.)  
sq.ft.","₹ 1.05 Crore+ Govt Charges & Tax
@ 3,888 per sq.ft.","Patel Nagar, Bhopal",South,1.0,Park/Garden,Immediate,No,,,,,
"Residential land / Plot in Sikandrabad, Bhopal","Sikandrabad, Bhopal",₹7 Lac,₹700 /sqft,"1,000 sqft",(93 sqm),Plot Area,Ready To Move,Road k samne plot hai and samne stadium hai,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 7 Lac+ Govt Charges & Tax
@ 700 per sq.ft.","Sikandrabad, Bhopal",East,2.0,,Immediate,No,,,,,
"Residential land / Plot in Naya Pura, Kolar Road, Bhopal",BOMBAY PARADISE,₹23 Lac,"₹2,875 /sqft",800 sqft,(74 sqm),Plot Area,Ready To Move,Plot is located in a developing 5 acre tncp approved project named bombay paradise,"Plot area 800
(74.32 sq.m.)  
sq.ft.","₹ 23 Lac
@ 2,875 per sq.ft.","BOMBAY PARADISE
, Bhopal",East,3.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Dehri Kalan, Bhopal","Dehri Kalan, Bhopal",₹64 Lac,"₹5,378 /sqft","1,190 sqft",(111 sqm),Plot Area,Under Construction,"We are proud owners of land available for sale in smart farm house , bhopal. Available at price of rs 64 lacs. It has plot area of 1190 sq ft. It has , 10 bathroom, 0 balcony.It is a freehold property","Plot area 1190
(110.55 sq.m.)  
sq.ft.","₹ 64 Lac
@ 5,378 per sq.ft.","Dehri Kalan, Bhopal",North,,Park/Garden,Dec 2025,Yes,,,,1 Floors,
"Residential land / Plot in Laharpur, Bhopal","Laharpur, Bhopal",₹2 Cr,"₹1,818 /sqft","11,000 sqft","(1,022 sqm)",Plot Area,Ready To Move,Khasra 108 over 2 . One more plot adjacent of the same dimensions.,"Plot area 11000
(1021.93 sq.m.)  
sq.ft.","₹ 2 Crore
@ 1,818 per sq.ft. (Negotiable)","Laharpur, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Danish Nagar, Bhopal","Danish Nagar, Bhopal",₹1.14 Cr,"₹5,000 /sqft","2,280 sqft",(212 sqm),Plot Area,Ready To Move,This is a very nice plot location on hoshangabad road.,"Plot area 2280
(211.82 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 38.00 ft.(11.58 mt.)  
sq.ft.","₹ 1.14 Crore
@ 5,000 per sq.ft. View Price Details","Danish Nagar, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Misrod, Bhopal",Globus Coral Woods,₹1.23 Cr,"₹8,200 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Best plot in hoshangabad road cor,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 1.23 Crore
@ 8,200 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",North-East,2.0,"Club,Main Road,Park/Garden,Pool,Others",Immediate    View Construction Status,No,,,,,
"Residential land / Plot in Misrod, Bhopal",Globus Coral Woods,₹2.5 Cr,"₹8,620 /sqft","2,900 sqft",(269 sqm),Plot Area,Ready To Move,This is a very nice plot location on hoshangabad road.,"Plot area 2900
(269.42 sq.m.)  
sq.ft.","₹ 2.5 Crore
@ 8,620 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",North-West,2.0,"Park/Garden,Pool,Others,Club,Main Road",Immediate    View Construction Status,No,,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹4.86 Cr,"₹4,500 /sqft","10,800 sqft","(1,003 sqm)",Plot Area,Ready To Move,The farm house is at a very good location on hoshangabad road in bhopal,"Plot area 10800
(1003.35 sq.m.)  
sq.ft.","₹ 4.86 Crore
@ 4,500 per sq.ft. View Price Details","Hoshangabad Road, Bhopal",East,2.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in Indus Towne, Bhopal",Ishaan Grand Estate,₹32 Lac,"₹2,909 /sqft","1,100 sqft",(102 sqm),Plot Area,Ready To Move,Plot west facing in ishan grand hosangabad road,"Plot area 1100
(102.19 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 32 Lac+ Govt Charges & Tax
@ 2,909 per sq.ft. (Negotiable)","Ishaan Grand Estate
Indus Towne, Bhopal",West,1.0,,Immediate,No,Yes,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal",Mirakaar Eastern County,₹32 Lac,"₹3,928 /sqft",840 sqft,(78 sqm),Plot Area,Ready To Move,"Covered campus..Spacious, ready to build plot in hoshangabad road, bhopal. The plot is around super built up area of 840 sq.Ft. In size. This residential plot is ready to move. The property is owned under freehold contract. The plot is available at a price of 18 lac. It's a east-Facing plot.","Plot area 840
(78.04 sq.m.)  
sq.ft.","₹ 32 Lac
@ 3,928 per sq.ft. (Negotiable)","Mirakaar Eastern County
Hoshangabad Road, Bhopal",East,2.0,"Main Road,Others,Club,Park/Garden",Immediate,,Yes,,,,
"Residential land / Plot in Misrod, Bhopal",Globus Coral Woods,₹70 Lac,"₹7,526 /sqft",930 sqft,(86 sqm),Plot Area,Ready To Move,East facing redidential plot with 25 feet road,"Plot area 930
(86.4 sq.m.)
l x b : 46.50 ft.(14.17 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 70 Lac
@ 7,526 per sq.ft. (All inclusive)","Globus Coral Woods
Misrod, Bhopal",East,1.0,,Immediate    View Construction Status,,Yes,,Yes,,
"Residential land / Plot in Gopal Nagar, Bhopal","Gopal Nagar, Bhopal",₹59.8 Lac,"₹2,600 /sqft","2,300 sqft",(214 sqm),Plot Area,Under Construction,"Check out this plot for sale in gopal nagar, one of the best locations in bhopal. The plot is around super built up area of 2300 sq.Ft. In size. No delay in acquiring possession. It's a ready to move property. The property belongs to owner through freehold ownership. This residential plot is all yours for 59.8 lac.","Plot area 2300
(213.68 sq.m.)  
sq.ft.","₹ 59.8 Lac
@ 2,600 per sq.ft. View Price Details","Gopal Nagar, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Rajharsh Colony, Bhopal","Rajharsh Colony, Bhopal",₹6 Cr,"₹3,000 /sqft","20,000 sqft","(1,858 sqm)",Plot Area,Ready To Move,"1, near dmart square .","Plot area 20000
(1858.06 sq.m.)  
sq.ft.","₹ 6 Crore
@ 3,000 per sq.ft. (Negotiable)","Rajharsh Colony, Bhopal",North,1.0,"Park/Garden,Main Road,Others",,,,,Yes,,Yes
"Residential land / Plot in Taraisewaniya, Bhopal","Taraisewaniya, Bhopal",₹1.1 Cr,₹146 /sqft,"75,000 sqft","(6,968 sqm)",Plot Area,Ready To Move,Its nearby airport and between the green area,"Plot area 75000
(6967.73 sq.m.)
l x b : 470.00 ft.(143.25 mt.) x 125.00 ft.(38.10 mt.)  
sq.ft.","₹ 1.1 Crore
@ 146 per sq.ft. (All inclusive)","Taraisewaniya, Bhopal",,3.0,,Immediate,Yes,,,,0 Floors,
