pname,society,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area
"5 Bedroom House for sale in Suraj Nagar, Bhopal",suraj nagar,250.0,10000,Ready To Move,"We have a house/villa available for sale in suraj nagar, meerut. Available at price of rs 2.5 crores. It has plot area of 2500 sq ft. It has 5 bhk, 4 bathroom, 5 balcony.It is a freehold property","Plot area 2500
(232.26 sq.m.)  
sq.ft.",3,NA,5 to 10 Year Old,,,,5,4,3,Not Available,2500.0
"4 Bedroom House for sale in Awadhpuri, Bhopal",regal homes,65.0,6000,Ready To Move,"This is 2 bhk duplex in well maintained society, self constructed and newly painted house, water tank is available, garden is nearby, garden is available, currently getting 14k rent per month.","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,East,10+ Year Old,"['8 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road",4,4,3," pooja room,study room",1083.33
"2 Bedroom House for sale in Ayodhya Bypass , Bhopal",new green city,27.99,2591,Ready To Move,"Covered campus colony, in house borewell water, 24x7 electricity, near by schools, near by mall, near by market, near by hospital","Plot area 600
(55.74 sq.m.)
Carpet area: 1080 sq.ft. (100.34 sq.m.)  
sq.ft.",2,East,0 to 1 Year Old,"['54 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['False Ceiling Lighting', 'Water Storage', 'Natural Light', 'Airy Rooms']",Others,2,2,2,Not Available,1080.28
"3 Bedroom House for sale in Rajharsh Colony, Bhopal",bx sector rajharsh colony kolar road,48.0,7666,Ready To Move,Duplex house sell include -Modular kitchen fall ceiling fan tv unit wooden bed cupboard dressing table led lights 3d focus lights best location area,"Plot area 600
(55.74 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.",2,West,1 to 5 Year Old,"['3 Bed', '2 Wardrobe', '2 Fan', '1 Exhaust Fan', '40 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],Main Road,3,3,1, others,626.14
"3 Bedroom House for sale in Kolar Road, Bhopal",kwality paradise girdhar parasar,95.0,6333,Ready To Move,"I have a house/villa available for sale in kolar road, bhopal. Available at price of rs 95 lacs. It has plot area of 1500 sq ft. It has 3 bhk, 4 bathroom, 1 balcony.It is a leasehold property","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,3,4,1,Not Available,1500.08
"8 Bedroom House for sale in Gurunanak Pura, Bhopal",gurunanak pura independent house,65.0,5909,Ready To Move,"Central bhopal location near by all facilities railway, isbt , hospitals,mall,marts, showrooms, school, provision store all the facilities near by 2 to 10 minutes","Plot area 1100
(102.19 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.",2,West,10+ Year Old,"['1 Water Purifier', '12 Fan', '1 Geyser', '22 Light', '2 AC', '1 Chimney', '8 Curtains', '1 Modular Kitchen', '1 TV', '3 Wardrobe', '1 Sofa', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Waste Disposal']",Main Road,8,5,1, pooja room,1100.02
"2 Bedroom House for sale in Bairagarh, Bhopal",bairagarh,250.0,16666,Ready To Move,Well mentioned house in bairagarh bhopal khanda,"Plot area 1500
(139.35 sq.m.)  
sq.ft.",1,NA,5 to 10 Year Old,,,,2,2,1,Not Available,1500.06
"4 Bedroom House for sale in Lambakheda, Bhopal",lambakheda,35.0,5833,Ready To Move,129 balaji leck city lamakheda bhopal,"Plot area 600
(55.74 sq.m.)  
sq.ft.",2,NA,1 to 5 Year Old,,,,4,3,1,Not Available,600.03
"3 Bedroom House for sale in Patel Nagar, Bhopal",patel nagar,120.0,12000,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in patel nagar, bhopal and make it your new address. The house has over built up area of 1000 sq.Ft. And comes with 3 bedrooms, 2 bathrooms . As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 1.2 crore.","Built Up area: 1000
(92.9 sq.m.)  
sq.ft.",2,NA,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,2,0,Not Available,1000.0
"3 Bedroom House for sale in Janki Nagar, Bhopal",janki nagar,85.0,9199,Ready To Move,"Big and spacious 3bhk and 1 big living room available for sale in prime location of chuna bhatti, bhopal. Close to all the prime amenities like banks, ondoor, showrooms etc.","Plot area 924
(85.84 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 924 sq.ft. (85.84 sq.m.)  
sq.ft.",2,West,10+ Year Old,"['1 Water Purifier', '6 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '6 Light', '1 TV', '3 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Modular Kitchen', 'No Stove']",,Main Road,3,3,2,Not Available,924.01
"4 Bedroom House for sale in Karond, Bhopal",globus coral casa,125.0,12413,Ready To Move,"I have a house/villa available for sale in bhanpur, bhopal. Available at price of rs 1.25 crores. It has plot area of 1007 sq ft. It has 4 bhk, 3 bathroom, balcony.It is a freehold property","Plot area 1007
(93.55 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,4,3,0,Not Available,1007.01
"3 Bedroom House for sale in Sukhi Sewania, Bhopal",sukhi sewania,49.0,4949,Ready To Move,"Check out this 3 bhk house for sale in sukhi sewania, a popular residential locality that contains many of the in-Demand properties in bhopal. The house has over built up area of 1000 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 2 balconies. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. By paying just 37 lac, you can become the proud owner of this independent house. This independent house has access to clean 24*7 supply of water for its residents. This residential house is east-Facing direction.","Built Up area: 1000
(92.9 sq.m.)
Carpet area: 990 sq.ft. (91.97 sq.m.)  
sq.ft.",2,East,0 to 1 Year Old,,"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","Park/Garden,Main Road",3,2,2,Not Available,990.1
"3 Bedroom House for sale in Janki Nagar, Bhopal",janki nagar,65.0,6190,Ready To Move,"This 3 bhk house for sale in janki nagar, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a built up area of 1050 sq.Ft. And contains 3 bedrooms, 2 bathrooms . Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 65 lac.","Built Up area: 1050
(97.55 sq.m.)  
sq.ft.",1,NA,,,,,3,2,0,Not Available,1050.08
"2 Bedroom House for sale in Karond, Bhopal",signature business park,27.0,4500,Ready To Move,"The new bus stand is 1 kilometres, The shopping malls like zudio and v2 and best-Price are at 5-10 minutes reach. Multicare hospitals like people's and bmhrc are also at 10 minutes reach. The sabji mandi is also 5 minutes away.","Plot area 600
(55.74 sq.m.)
Built Up area: 660 sq.ft. (61.32 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",1,South-West,5 to 10 Year Old,"['1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,1,0,Not Available,600.0
"3 Bedroom House for sale in Kamlesh Nagar, Bhopal",kamlesh nagar,65.0,4333,Ready To Move,The property is located at a very good location near the main highway and nearby sagar gaire. 6 km from the railway station and 5 kms from the airport. The location is prime.,"Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,South,5 to 10 Year Old,"['3 Bed', '5 Fan', '1 Exhaust Fan', '8 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']",Main Road,3,3,1, pooja room,1500.12
"5 Bedroom House for sale in Karond, Bhopal",indus regency,85.0,7391,Ready To Move,"This 5 bhk house for sale in karond is an ideal abode for a family. Even better, it is situated in one of the prominent localities of bhopal. The house has over carpet area of 1150 sq.Ft. And comes with 5 bedrooms, 4 bathrooms and 2 balconies. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The property is available for sale at a competitive price of 85 lac. This independent house has access to clean 24*7 supply of water for its residents. This residential house is north-Facing direction.","Carpet area: 1150
(106.84 sq.m.)  
sq.ft.",3,North,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,5,4,2,Not Available,1150.05
"5 Bedroom House for sale in Bagli, Bhopal",jdn kasturi smart city,80.0,8000,Ready To Move,This is newly 5 bhk duplex with modular kitchen and fall ceiling,"Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,North,0 to 1 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking']",,5,3,2," study room,servant room",1000.0
"2 Bedroom House for sale in Shahpura, Bhopal",shahpura,24.0,2000,Ready To Move,"Do you wish to buy an independent house in shahpura, bhopal. This 2 bhk house looks like an ideal choice for somebody looking for peace of mind. Containing 2 bedrooms, 2 bathrooms and 2 balconies, this independent house is spread over a built up area of 1200 sq.Ft. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 24 lac.","Built Up area: 1200
(111.48 sq.m.)  
sq.ft.",2,NA,,,,,2,2,2,Not Available,1200.0
"2 Bedroom House for sale in Karond, Bhopal",karond,18.0,3000,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in karond, bhopal and make it your new address. The house has over built up area of 600 sq.Ft. And comes with 2 bedrooms, 2 bathrooms . Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 18 lac.","Built Up area: 600
(55.74 sq.m.)  
sq.ft.",1,NA,,,,,2,2,0,Not Available,600.0
"4 Bedroom House for sale in Phanda Kala, Bhopal",phanda kala,20.0,500,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in phanda kala, bhopal and make it your new address. This house occupies a built up area of 4000 sq.Ft. And contains 4 bedrooms, 3 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. The price of this spacious independent house is 20 lac.","Built Up area: 4000
(371.61 sq.m.)  
sq.ft.",5,NA,,,,,4,3,0,Not Available,4000.0
"4 Bedroom House for sale in Chuna Bhatti, Bhopal",chuna bhatti,200.0,9000,Ready To Move,"Chuna bhatti is one of bhopal's most sought after destination for residential houses and this 4 bhk house in chuna bhatti is your opportunity to be a part of this community. The floor plan additionally contains 4 bedrooms, 3 bathrooms . All in all, the independent house is spread over a built up area of 2000 sq.Ft. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 1 crore.","Plot area 1320
(122.63 sq.m.)
Built Up area: 2222 sq.ft. (206.43 sq.m.)  
sq.ft.",2,East,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",['Private Garden / Terrace'],,4,3,0,Not Available,2222.22
"4 Bedroom House for sale in Gomti Colony, Bhopal",gomti colony,125.0,10417,Ready To Move,"Do you wish to buy an independent house in gomti colony, bhopal. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a carpet area of 1200 sq.Ft. And contains 4 bedrooms, 4 bathrooms and 2 balconies. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. This spacious house can be all yours at an attractive price of 1.25 crore.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",2,NA,,,,,4,4,2,Not Available,1199.96
"4 Bedroom House for sale in Samardha, Bhopal",samardha,27.0,4500,Ready To Move,"Cement road , coverd colony , near by temple , atmosphere to good . Water tank facility , stand light near by hospital ,main road. All facilities near by home Urgent sales.","Plot area 600
(55.74 sq.m.)  
sq.ft.",3,NA,10+ Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park']","Park/Garden,Main Road,Club",4,4,2," pooja room,others",600.0
"3 Bedroom House for sale in Janki Nagar, Bhopal",janki nagar,35.0,2333,Ready To Move,"Janki nagar is one of bhopal's most sought after destination for residential houses and this 3 bhk house in janki nagar is your opportunity to be a part of this community. Containing 3 bedrooms, 2 bathrooms , this independent house is spread over a built up area of 1500 sq.Ft. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. The property is available for sale at a competitive price of 35 lac.","Built Up area: 1500
(139.35 sq.m.)  
sq.ft.",2,NA,,,,,3,2,0,Not Available,1500.21
"3 Bedroom House for sale in Gandhinagar, Bhopal",aerocity,85.0,5666,Ready To Move,It's a 3bhk duplex build by bhopal development Authority and the house is at corner every room have Attached washroom and balcony 2 cars parking in house Area and normal size garden in front of living room in Front of house 12meter road and there was 24hr guard Service and safety only serious buyer can contact prices Are negotiable on table.,"Plot area 1500
(139.35 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.",1,South-West,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'No open drainage around', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","Main Road,Park/Garden",3,4,2,Not Available,1500.18
"3 Bedroom House for sale in Sector A Rajeev Nagar, Bhopal",ayodhya bypass rajeev nagar sector b,22.0,5500,Ready To Move,Property is located behind reliance mart ayodhya bypass in rajeev nagar sector b. School college hospital is within walking distance. Property is also good in investment purpose as it is giving rent around 9k per month.,"Plot area 400
(37.16 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,"['1 Water Purifier', '4 Fan', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",['Water Storage'],,3,2,1,Not Available,400.0
"2 Bedroom House for sale in Gopal Nagar, Bhopal",gopal nagar,70.0,4666,Ready To Move,Interested to sell independent house/villa.It has spacious 2 bedrooms and 2 bathrooms. .Nice unfurnished enhancing decorplaced at gopal nagar.Want to sell it for rs 7000000.It is a 10 years old property construction na,"Plot area 1500
(139.35 sq.m.)  
sq.ft.",1,NA,10+ Year Old,,,,2,2,0,Not Available,1500.21
"7 Bedroom House for sale in Mahabali Nagar, Bhopal",maa parvati nagar,110.00000000000001,11956,Ready To Move,"This is 3 floor building with running rental income Corner house - Inside 4 bikes parking and on road side 2-4 car parking possible Ground floor - 2 bhk 1 shop in ground floor Under ground water tank 1st floor - 3 bhk with front shed 2nd floor - 2 bhk with front shed Monthly good rental income coming Property close to kolar road 6 lane around 400 m only Within 1 km - Kolar dussehra ground, school, petrol pump, shopping market, food market, vegetable market, multi specialist hospital too and more You can contact on 977 08 7 91 6 9 Nine seven seven zero eight seven nine one six nine","Plot area 920
(85.47 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",3,North,10+ Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Park', 'Natural Light']","Park/Garden,Main Road",7,6,2,Not Available,920.04
"3 Bedroom House for sale in Khajoori Sadak, Bhopal",khajoori sadak,30.0,2000,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in khajoori sadak, bhopal and make it your new address. This house occupies a carpet area of 1800 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 3 balconies. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 30 lac. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Carpet area: 1800
(167.23 sq.m.)  
sq.ft.",2,East,,,,,3,3,3,Not Available,1500.0
"3 Bedroom House for sale in Janki Nagar, Bhopal",janki nagar,38.0,3800,Ready To Move,"Do you wish to buy an independent house in janki nagar, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1000 sq.Ft. Another added advantage of this 0-1 year old house is that it is available for immediate possession. The type of ownership of this property is freehold. This independent house is available at an attractive price of 38 lac.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",2,NA,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,3,2,Not Available,1000.0
"7 Bedroom House for sale in Hoshangabad Road, Bhopal",ruchi lifescapes,225.0,7530,Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 7 bhk house in hoshangabad road, which is an ideal choice for a family. This house occupies a super built up area of 2988 sq.Ft. And contains 7 bedrooms, 7 bathrooms and 3 balconies. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 2.25 crore. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction.","Plot area 2988
(277.59 sq.m.)
Built Up area: 5125 sq.ft. (476.13 sq.m.)  
sq.ft.",2,East,,,,,7,7,3,Not Available,2988.05
"2 Bedroom House for sale in Karariya Sajidabad, Bhopal",karariya sajidabad,65.0,8125,Ready To Move,"Check out this 2 bhk house for sale in karariya sajidabad, a popular residential locality that contains many of the in-Demand properties in bhopal. Containing 2 bedrooms, 2 bathrooms and 1 balcony, this independent house is spread over a built up area of 800 sq.Ft. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. By paying just 65 lac, you can become the proud owner of this independent house. This independent house has access to clean 24*7 supply of water for its residents. This residential house is west-Facing direction.","Built Up area: 800
(74.32 sq.m.)  
sq.ft.",2,West,,,,,2,2,1,Not Available,800.0
"2 Bedroom House for sale in Berkhedi Kalan, Bhopal",ganesh colony,22.0,3525,Ready To Move,Ready to move owen house for sell.,"Plot area 624
(57.97 sq.m.)  
sq.ft.",1,NA,1 to 5 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,1,0,Not Available,624.11
"3 Bedroom House for sale in Nariyalkheda, Bhopal",nariyalkheda,38.0,6333,Ready To Move,Fully furnished with interior and ceiling in hall with lowers panels,"Plot area 600
(55.74 sq.m.)  
sq.ft.",3,NA,5 to 10 Year Old,"['1 Wardrobe', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,3,3,Not Available,600.03
"4 Bedroom House for sale in Bharat Nagar, Indrapuri, Bhopal",bharat nagar indrapuri,229.99999999999997,9583,Ready To Move,"8hrs water supply,near jk road,7km bhopal railway station","Plot area 2400
(222.97 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.",1,West,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Waste Disposal']",Park/Garden,4,2,0, others,2400.08
"5 Bedroom House for sale in Nehru Nagar , Bhopal",aakriti garden phase 4,170.0,17000,Ready To Move,Fully furnished and functional independent house,"Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,North,10+ Year Old,"['8 Fan', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '4 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '4 Bed', '3 Wardrobe', '1 Sofa', 'No Curtains', 'No Light', 'No Microwave', 'No Fridge', 'No Washing Machine', 'No Water Purifier']","['False Ceiling Lighting', 'Separate entry for servant room', 'Park', 'Security Personnel', 'Airy Rooms', 'Spacious Interiors']",Park/Garden,5,4,1,Not Available,1000.0
"8 Bedroom House for sale in Singarcholi, Bhopal",singarcholi,225.0,9782,Under Construction,"We are proud owners of house/villa available for sale in singarcholi, bhopal. Available at price of rs 2.25 crores. It has carpet area of 2300 sqft. It has 5 bhk, 8 bathroom, 7 balcony.It is a freehold property","Carpet area: 2300
(213.68 sq.m.)  
sq.ft.",3,NA,,,,,8,8,3,Not Available,2300.14
"4 Bedroom House for sale in Janki Nagar, Bhopal",janki nagar,65.0,3421,Ready To Move,"This 4 bhk house for sale in janki nagar, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a built up area of 1900 sq.Ft. And contains 4 bedrooms, 4 bathrooms . Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 65 lac.","Built Up area: 1900
(176.52 sq.m.)  
sq.ft.",2,NA,,,,,4,4,0,Not Available,1900.03
"3 Bedroom House for sale in Janki Nagar, Bhopal",lakshya serene wood,49.0,4336,Ready To Move,"Do you wish to buy an independent house in janki nagar, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a built up area of 1130 sq.Ft. And contains 3 bedrooms, 3 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 49 lac.","Built Up area: 1130
(104.98 sq.m.)  
sq.ft.",2,NA,,,,,3,3,0,Not Available,1130.07
"3 Bedroom House for sale in Airport Road, Bhopal",airport road,85.0,3542,Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in airport road, which is an ideal choice for a family. The floor plan additionally contains 3 bedrooms, 2 bathrooms and 1 balcony. All in all, the independent house is spread over a built up area of 2400 sq.Ft. Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 85 lac. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Built Up area: 2400
(222.97 sq.m.)  
sq.ft.",1,East,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,2,1,Not Available,2399.77
"2 Bedroom House for sale in Akbarpur, Bhopal",akbarpur,25.0,3623,Under Construction,"On the lookout for a spacious house in bhopal? Go for this 2 bhk house for sale in akbarpur, a well-Connected locality within bhopal. The floor plan additionally contains 2 bedrooms, 2 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 690 sq.Ft. As the property is currently under construction, you can expect to get the possession within 3 months. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 25 lac.","Plot area 690
(64.1 sq.m.)  
sq.ft.",1,NA,Under Construction,,,,2,2,1,Not Available,690.04
"3 Bedroom House for sale in Bagmugaliya, Bhopal",sagar royal villas,45.0,4285,Ready To Move,"We have a house/villa available for sale in swarna kunj colony, bhopal. Available at price of rs 4500000. It has carpet area of 1050 sq ft. It has 3 bhk, 2 bathroom, balcony.It is a freehold property","Carpet area: 1050
(97.55 sq.m.)  
sq.ft.",5,NA,5 to 10 Year Old,,,,3,2,0,Not Available,1050.18
"7 Bedroom House for sale in B sector shahpura, Bhopal",gate number 8 shahpura,210.0,8750,Ready To Move,"Park facing property situated in the most posh square of shahpura and bhopal region with multiple ias, ies, doctors, architects, and buisness owners residing. Market, lake, mall, community hall, gaming zone, children garden and every possible utility at walking distance from our property. Fully secured campus with heavy security gates installation and security agency. At a distance of 250 meters from shahpura lake, one of the most vibrant place of bhopal.","Plot area 2400
(222.97 sq.m.)  
sq.ft.",2,South,10+ Year Old,,['No open drainage around'],"Park/Garden,Main Road",7,6,2,Not Available,2400.0
"3 Bedroom House for sale in Bairagarh Chichali, Bhopal",bairagarh chichali,40.0,3636,Ready To Move,Near 6 lane road All near amenities,"Plot area 1100
(102.19 sq.m.)  
sq.ft.",2,North,0 to 1 Year Old,,"['Feng Shui / Vaastu Compliant', 'Park', 'Visitor Parking', 'Waste Disposal']","Park/Garden,Main Road",3,3,1," pooja room,study room",1100.11
"5 Bedroom House for sale in Narayan Nagar, Bhopal",narayan nagar,110.00000000000001,10476,Ready To Move,"Near national highway, independent house,","Plot area 1050
(97.55 sq.m.)  
sq.ft.",2,NA,10+ Year Old,,,,5,4,1,Not Available,1050.02
