society,colony,property_type,price,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,mainarea,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
globus coral woods,misrod,Flat,65.0,5200,5.0,,3,3,2,1250.0,1,1,1,1,0,0,1,96,Amenity Facing Homes
laxmi nagar,piplani,House,80.0,8000,2.0,,4,4,1,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
amrit bindras pebble bay,bagmugaliya,House,794.95,7388,3.0,North,6,6,2,10760.0,1,1,1,1,0,0,1,46,Green View Homes
dwarka dham,bypass road,Flat,55.0,2938,2.0,,4,4,0,1872.0,0,0,0,0,0,0,1,0,Road Facing Homes
akshara city,ayodhya bypass,Flat,29.53,2461,6.0,East,3,3,3,1200.0,0,0,1,0,0,0,1,88,Green View Homes
rsr satyam estate,bawadia kalan,Flat,199.98,9090,0.0,,2,2,0,2200.0,0,0,0,0,0,0,1,0,Road Facing Homes
singarcholi,lalgathi,House,224.99,9782,3.0,,8,8,3,2300.0,0,0,0,0,0,0,1,0,Road Facing Homes
chuna bhatti,chuna bhatti,House,230.0,10000,2.0,West,4,4,2,2300.0,0,0,0,1,0,0,1,20,Road Facing Homes
26 janakpuri ayodhya by pass,ayodhya bypass,House,90.0,9000,3.0,East,6,4,1,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
regal mohini hones,khajuri kalan,House,59.99,6382,2.0,,4,2,2,940.0,0,0,0,0,0,0,1,0,Road Facing Homes
fortune atlantis phase ii,katara hills,Flat,25.0,3655,1.0,West,2,1,1,684.0,0,0,0,0,0,0,1,0,Road Facing Homes
fortune soumya heritage,misrod,Flat,33.0,2640,2.0,,3,2,2,1250.0,0,0,0,0,0,0,1,53,Amenity Facing Homes
sai baba apartment,aishbagh,Flat,30.0,6315,2.0,North,2,2,1,475.0,0,0,0,0,0,0,1,7,Green View Homes
salaiya,salaiya,House,80.0,8264,2.0,East,4,3,2,968.0,1,1,0,0,0,0,1,9,Green View Homes
trilanga,shahpura,House,120.0,12000,2.0,West,4,4,2,1000.0,0,0,0,1,0,0,0,8,Road Facing Homes
sage golden spring,ayodhya bypass,Flat,56.99,3762,7.0,East,3,3,3,1515.0,0,0,0,0,0,0,1,33,Road Facing Homes
girnar hills,awadhpuri,House,28.0,3733,2.0,East,2,2,1,750.0,0,0,0,0,0,0,1,15,Amenity Facing Homes
kwality paradise girdhar parasar,kolar road,House,95.0,6333,2.0,,3,4,1,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
ritu 11th mile garden city,hoshangabad road,House,47.0,6266,2.0,East,3,3,1,750.0,0,0,0,0,0,0,1,0,Amenity Facing Homes
ambedkar nagar,central bhopal,House,84.99,3269,3.0,North,10,6,3,2600.0,0,0,0,0,0,0,0,5,Road Facing Homes
nikhil banglow,habib ganj,House,87.0,7909,2.0,North,4,3,2,1100.0,0,0,0,0,0,0,1,0,Road Facing Homes
sagar estate,ayodhya bypass,House,74.99,5281,2.0,North,3,2,1,1420.0,0,0,0,0,0,0,1,30,Road Facing Homes
ripl maple tree,gandhinagar,Flat,32.99,3038,5.0,East,2,2,1,1086.0,0,0,0,0,0,0,0,110,Amenity Facing Homes
peoples campus,karond,House,24.99,2777,2.0,North-East,2,2,1,900.0,0,0,0,1,1,0,0,17,Green View Homes
bhuvi madhurban phase 1,bypass road,Flat,26.0,4333,1.0,North,1,1,0,600.0,0,0,0,0,0,0,1,21,Amenity Facing Homes
nirupam royal palms,hoshangabad road,Flat,51.5,6437,4.0,East,3,2,3,800.0,0,0,0,0,0,0,0,82,Amenity Facing Homes
globus coral woods,misrod,House,424.48,16326,3.0,East,4,4,2,2600.0,0,0,0,1,0,0,1,102,Amenity Facing Homes
housing board society,govindpura,House,206.48,8003,2.0,,5,3,1,2580.0,0,0,0,0,0,0,1,0,Road Facing Homes
globus coral casa,karond,House,125.0,12413,2.0,,4,3,0,1007.0,0,0,0,0,0,0,1,24,Green View Homes
chola rod,bhopal,House,12.0,60000,1.0,,2,2,1,20.0,0,0,0,0,0,0,1,0,Road Facing Homes
fine homes,arera colony,Flat,31.76,352941,0.0,,2,2,0,9.0,0,0,0,0,0,0,1,0,Road Facing Homes
nagarjun nagar,patel nagar,House,109.99,6666,1.0,East,3,3,1,1650.0,0,0,0,1,0,0,1,19,Green View Homes
ruchi lifescapes,hoshangabad road,Flat,35.0,2397,4.0,East,3,2,0,1460.0,0,0,0,0,0,0,1,55,Amenity Facing Homes
ultimate campus,kolar road,Flat,44.99,3103,1.0,,3,2,2,1450.0,0,0,0,0,0,0,1,71,Green View Homes
shahpura,shahpura,House,24.0,2000,2.0,,2,2,2,1200.0,0,0,0,0,0,0,1,34,Green View Homes
danish kunj,gehu kheda,House,152.6,5652,2.0,West,5,4,2,2700.0,1,0,0,1,1,0,1,12,Green View Homes
ashoka garden,ashoka garden,House,150.0,6818,2.0,,10,5,3,2200.0,0,0,0,0,0,0,1,27,Road Facing Homes
nirupam royal palms,hoshangabad road,Flat,35.0,4268,3.0,East,2,1,1,820.0,0,0,0,0,0,0,1,70,Amenity Facing Homes
independent duplex house,karond,House,30.88,11875,2.0,North-East,5,4,0,260.0,0,0,1,1,0,0,1,25,Green View Homes
e 5 arera colony,arera colony,House,1000.0,25000,2.0,North,5,7,3,4000.0,1,0,0,1,1,0,1,11,Road Facing Homes
raksha eden park,hoshangabad road,Flat,31.21,2812,4.0,East,3,3,2,1110.0,0,0,0,0,0,1,0,27,Road Facing Homes
agrawal sagar green hills,kolar road,Flat,55.49,4132,0.0,East,4,3,2,1343.0,0,0,0,0,0,0,0,94,Amenity Facing Homes
globus coral cottages,hoshangabad road,House,119.99,9090,2.0,East,4,4,2,1320.0,0,0,0,0,0,0,0,7,Green View Homes
gurushishya prangan society khadi road beed,bypass road,Flat,16.0,4000,1.0,,1,1,2,400.0,0,0,0,0,0,0,1,0,Road Facing Homes
shri ram parisar,awadhpuri,House,138.14,6279,2.0,West,5,4,2,2200.0,0,0,0,0,1,0,1,32,Road Facing Homes
aakar canal kinship,bawadia kalan,Flat,40.73,3703,6.0,East,3,2,2,1100.0,0,0,0,0,0,1,0,44,Green View Homes
essarjee sampada,khajuri kalan,House,64.06,5125,1.0,,3,2,0,1250.0,0,0,0,0,0,0,1,22,Amenity Facing Homes
drishti plaza,shahpura,House,99.0,9900,3.0,,8,6,0,1000.0,0,0,0,0,0,0,1,5,Road Facing Homes
soumya enclave,chuna bhatti,Flat,45.0,3600,2.0,East,3,2,2,1250.0,0,0,0,0,0,0,0,22,Road Facing Homes
sarc pacific blue,hoshangabad road,Flat,49.99,3424,4.0,,3,2,2,1460.0,0,0,0,0,0,0,0,70,Amenity Facing Homes
sterling pride city,katara hills,Flat,18.0,2769,4.0,West,2,2,1,650.0,0,0,0,0,0,0,1,54,Amenity Facing Homes
amaltas ambreen homes,katara hills,Flat,30.0,3000,4.0,East,3,2,1,1000.0,0,0,0,0,0,0,0,42,Amenity Facing Homes
ibd hallmark citii,mahawadiya,Flat,24.99,2325,2.0,,3,2,0,1075.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
prakrati parshv pavilion,shahpura,House,115.0,9829,2.0,West,3,3,2,1170.0,0,0,0,0,0,0,1,0,Road Facing Homes
teela jamalpura,shahjahanabad,House,65.0,4333,1.0,South,5,3,1,1500.0,0,0,0,0,1,0,0,13,Road Facing Homes
brokar,arera colony,House,628.56,15714,2.0,,4,5,2,4000.0,0,0,0,0,0,0,1,0,Road Facing Homes
karond chouraha,karond,House,210.0,26250,2.0,South,3,2,1,800.0,0,0,0,0,0,0,1,8,Road Facing Homes
center point jinsi square,aishbagh,Flat,22.0,4400,3.0,North,2,2,1,500.0,0,0,0,0,0,0,1,13,Road Facing Homes
surbhi mohini homes,bhopal,Flat,32.5,3823,3.0,,2,2,1,850.0,0,0,0,0,0,0,1,0,Road Facing Homes
sagar royal villas,bagmugaliya,Flat,37.99,3454,4.0,East,3,2,2,1100.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
fortune soumya heritage,misrod,Flat,31.0,2480,2.0,,3,2,1,1250.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
sai deep apartment,kolar road,Flat,19.03,2625,3.0,North,2,2,2,725.0,0,0,0,0,0,0,1,25,Green View Homes
awadhpuri,awadhpuri,House,86.66,7222,0.0,West,4,4,0,1200.0,0,0,0,0,0,0,1,75,Green View Homes
mirza apartment,peer gate area,Flat,45.0,6428,2.0,,3,2,1,700.0,0,0,0,0,0,0,1,0,Road Facing Homes
awadhpuri,awadhpuri,House,150.0,11261,2.0,,3,2,1,1332.0,0,0,0,0,0,0,1,75,Green View Homes
rajat bihar colony,bagmugaliya,House,159.98,8888,2.0,South-West,4,4,2,1800.0,0,0,0,0,0,0,1,0,Green View Homes
fortune kasturi,hoshangabad road,Flat,40.0,3082,1.0,East,2,2,2,1298.0,0,0,0,0,0,0,1,46,Road Facing Homes
shrinath sheetal heights,misrod,Flat,34.99,2916,2.0,,3,3,2,1200.0,0,0,0,0,0,0,1,28,Road Facing Homes
bypass road,bypass road,House,22.0,2328,1.0,,2,2,1,945.0,0,0,0,0,0,0,1,0,Green View Homes
jeevan vihar,central bhopal,Flat,41.99,3113,0.0,,2,2,0,1349.0,0,0,0,0,0,0,1,0,Road Facing Homes
saket nagar,habib ganj,House,117.33,10666,1.0,East,3,3,1,1100.0,1,0,0,0,1,0,1,22,Green View Homes
indrapuri,piplani,House,289.99,12083,3.0,,5,3,2,2400.0,0,0,0,0,0,0,1,0,Road Facing Homes
vardhaman city plaza,peer gate area,Flat,27.0,3600,3.0,,2,2,2,750.0,0,0,0,0,0,0,0,18,Road Facing Homes
danish hills view,kolar road,Flat,40.0,4938,4.0,North,2,2,1,810.0,0,0,0,0,0,1,1,31,Green View Homes
garden residency,chuna bhatti,Flat,74.99,4285,4.0,,4,3,3,1750.0,0,0,0,0,0,0,1,0,Road Facing Homes
chhatrapati nagar,ayodhya nagar,House,205.0,10250,3.0,South-East,6,4,3,2000.0,0,0,0,1,0,0,0,13,Road Facing Homes
e 3 arera colony,arera colony,House,420.0,21000,1.0,,4,2,1,2000.0,0,0,0,0,0,0,1,0,Green View Homes
keelandev apartments,central bhopal,Flat,184.99,10481,5.0,North-West,3,3,2,1765.0,0,1,0,0,0,0,0,22,Road Facing Homes
amber apartment mp ngr,central bhopal,Flat,55.0,6470,1.0,,3,2,2,850.0,0,0,0,0,0,0,0,14,Road Facing Homes
lakhumal nikhil nestles,hoshangabad road,Flat,27.41,2916,3.0,West,2,2,2,940.0,0,0,0,0,1,0,0,115,Amenity Facing Homes
ayodhya bypass,ayodhya bypass,House,50.0,5000,2.0,,2,3,0,1000.0,0,0,0,0,0,0,1,13,Green View Homes
vijay nagar,aishbagh,House,229.15,10416,2.0,,4,3,2,2200.0,1,0,0,1,1,0,2,32,Green View Homes
soumya evergreen,gehu kheda,Flat,35.0,3500,2.0,,2,2,1,1000.0,0,0,0,0,0,0,1,30,Road Facing Homes
b sector shahpura,shahpura,House,850.0,21250,3.0,,4,4,3,4000.0,0,0,0,0,0,0,1,38,Road Facing Homes
green heights,bawadia kalan,Flat,75.01,4167,1.0,East,3,3,2,1800.0,0,0,0,0,0,0,1,30,Road Facing Homes
bagmugaliya,bagmugaliya,House,150.0,6250,1.0,East,3,3,2,2400.0,0,0,0,0,0,0,1,14,Road Facing Homes
aakriti eco city,bawadia kalan,House,124.99,11061,2.0,East,3,3,2,1130.0,0,0,0,0,0,0,0,34,Green View Homes
shriram nips,hoshangabad road,Flat,42.5,3400,2.0,,3,2,3,1250.0,0,0,0,0,0,0,1,33,Premium Scenic Homes
globus coral casa,karond,Flat,34.99,3043,1.0,,3,2,1,1150.0,0,0,0,0,0,0,1,24,Green View Homes
sarc pacific blue,hoshangabad road,Flat,47.99,3287,4.0,West,3,2,2,1460.0,1,1,0,1,1,0,0,41,Amenity Facing Homes
girdhar heights,kolar road,House,84.99,5666,2.0,,3,4,1,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
vardhaman enclave,central bhopal,Flat,33.0,3300,0.0,,3,2,0,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
airport road,gandhinagar,House,140.0,5000,,,5,4,0,2800.0,0,0,0,0,0,0,1,14,Amenity Facing Homes
sterling pride city,katara hills,Flat,18.5,2275,4.0,North,2,2,2,813.0,0,0,0,0,0,1,1,33,Amenity Facing Homes
sarvadharm colony,kolar road,Flat,22.5,3214,1.0,East,2,2,1,700.0,0,0,0,0,0,0,1,7,Road Facing Homes
housing board colony,shahjahanabad,Flat,46.0,5111,2.0,East,3,2,1,900.0,0,0,0,0,0,0,1,9,Road Facing Homes
bawadia kalan,bawadia kalan,House,260.0,10400,3.0,East,4,4,2,2500.0,0,0,0,0,0,0,2,12,Green View Homes
comfort heights,gandhinagar,House,98.99,8497,2.0,North,3,3,2,1165.0,0,0,0,0,1,0,2,22,Green View Homes
vardhman green park,ashoka garden,House,99.96,7054,1.0,,3,2,0,1417.0,0,0,0,0,0,0,1,0,Road Facing Homes
mahabali nagar,gehu kheda,House,168.75,5625,2.0,East,3,3,3,3000.0,0,0,1,0,0,0,1,0,Road Facing Homes
shiva whispering woods,salaiya,Flat,28.14,2962,3.0,North,3,2,2,950.0,0,0,0,0,0,1,1,21,Green View Homes
gopal nagar sector b,patel nagar,House,95.38,4542,2.0,West,4,4,1,2100.0,0,0,0,0,0,0,1,12,Road Facing Homes
shashi hi tech city,lalgathi,Flat,18.0,2643,1.0,,2,2,2,681.0,0,0,0,0,0,0,1,20,Road Facing Homes
lila atulyam,salaiya,Flat,27.05,4990,3.0,North-East,2,2,2,542.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
dwarkadheesh gokuldham,bypass road,House,45.0,6250,2.0,West,3,3,1,720.0,0,0,0,0,0,0,1,0,Road Facing Homes
rahul,bhopal,Flat,40.0,6201,6.0,,2,2,1,645.0,0,0,0,0,0,0,1,23,Green View Homes
chinarr dream city,misrod,Flat,35.0,2500,4.0,East,3,2,1,1400.0,0,0,0,0,0,0,1,46,Road Facing Homes
lambakheda,navi bagh,House,35.0,5833,2.0,,4,3,1,600.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
shiva whispering woods,salaiya,Flat,51.0,4857,2.0,North-East,3,2,3,1050.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
agrawal sagar golden palm,katara hills,Flat,30.0,3000,2.0,,2,2,1,1000.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
priyadarshini adhishthan,bawadia kalan,Flat,66.01,3883,5.0,East,3,3,2,1700.0,0,0,0,0,0,0,0,48,Amenity Facing Homes
eit khedi,bhopal,House,22.9,3053,1.0,,3,2,1,750.0,0,0,0,0,1,0,1,0,Road Facing Homes
regal town,awadhpuri,Flat,27.0,3683,2.0,East,2,2,1,733.0,0,0,0,0,0,0,1,41,Amenity Facing Homes
narayan nagar,habib ganj,House,300.0,18750,3.0,,10,6,3,1600.0,0,0,0,0,0,0,1,18,Road Facing Homes
ram complex,govindpura,Flat,25.0,3333,0.0,,2,2,1,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
fortune delight,hoshangabad road,Flat,40.0,4608,1.0,North-East,2,2,1,868.0,0,0,0,0,0,0,1,22,Road Facing Homes
harshit lifestyle,gandhinagar,Flat,32.99,2869,2.0,West,3,3,2,1150.0,0,0,0,0,1,0,1,105,Amenity Facing Homes
gmr golden palm,hoshangabad road,Flat,30.88,2807,5.0,East,3,3,3,1100.0,0,0,0,0,0,0,0,69,Amenity Facing Homes
e 7 arera colony,arera colony,House,349.98,14510,2.0,North,4,4,3,2412.0,1,1,0,1,0,0,1,11,Road Facing Homes
gharonda heights,patel nagar,House,38.0,4000,,,2,2,0,950.0,0,0,0,0,0,0,1,41,Green View Homes
globus coral woods,misrod,Flat,66.98,3609,4.0,North,3,3,2,1856.0,0,0,0,0,0,0,0,53,Premium Scenic Homes
zone 1 samta saket,central bhopal,Flat,25.0,7142,2.0,,2,1,1,350.0,0,0,0,0,0,0,1,0,Road Facing Homes
kamlesh nagar,bhopal,House,65.0,4333,2.0,South,3,3,1,1500.0,0,0,0,1,0,0,0,18,Road Facing Homes
udhyogpuri apartment,mandideep,Flat,25.0,5555,1.0,,1,1,1,450.0,0,0,0,0,0,0,1,0,Road Facing Homes
bda colony gondermau airport road,gandhinagar,House,22.0,4888,1.0,North-East,2,1,2,450.0,0,0,0,0,0,0,0,24,Green View Homes
shri krishna guru complex,gandhinagar,Flat,24.0,5095,2.0,South,2,1,1,471.0,0,0,0,0,0,0,0,11,Green View Homes
bm coral casa,karond,Flat,30.0,2609,6.0,,3,2,1,1150.0,0,0,0,0,0,0,1,0,Green View Homes
parke serene,bawadia kalan,Flat,22.0,2588,4.0,East,2,2,2,850.0,0,0,0,0,0,0,1,0,Road Facing Homes
pushpa vihar ayodhya baypass,bhopal,House,35.0,5833,2.0,,2,1,2,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
samardha,mandideep,House,24.5,4083,1.0,,2,2,1,600.0,0,0,0,0,0,0,1,4,Green View Homes
punjabi bagh,govindpura,House,494.0,9500,2.0,East,9,7,2,5200.0,0,0,0,0,0,0,1,8,Road Facing Homes
shri balaji swastik grand,misrod,House,225.99,17384,2.0,East,4,3,1,1300.0,0,0,0,0,0,0,1,49,Amenity Facing Homes
green city,bhopal,House,288.0,16000,2.0,East,4,3,2,1800.0,0,0,0,0,0,0,1,13,Road Facing Homes
nikhil devalaya pristine,bawadia kalan,Flat,70.0,7000,6.0,,3,3,2,1000.0,0,0,0,0,0,0,0,18,Green View Homes
pebble bay,bagmugaliya,House,749.97,6970,2.0,,6,6,2,10760.0,1,1,1,1,0,0,2,72,Amenity Facing Homes
vandana homes,gehu kheda,Flat,19.0,2533,1.0,,2,2,1,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
karamveer nagar,piplani,House,150.0,10000,2.0,East,3,2,1,1500.0,0,0,0,0,0,0,1,2,Road Facing Homes
agrawal sagar landmark,ayodhya bypass,Flat,40.0,3252,2.0,,3,2,1,1230.0,0,0,0,0,0,0,1,56,Amenity Facing Homes
karamveer nagar,piplani,House,513.33,23333,2.0,East,3,4,3,2200.0,0,1,0,1,0,0,1,2,Road Facing Homes
jatkhedi,misrod,House,120.0,10000,2.0,South-East,4,4,2,1200.0,0,0,0,0,1,0,0,26,Green View Homes
ganpati enclave,shirdipuram,House,40.0,4444,1.0,West,2,2,0,900.0,0,0,0,0,0,0,1,0,Road Facing Homes
sarvadharm colony,kolar road,Flat,17.0,2428,2.0,,2,2,1,700.0,0,0,0,0,0,0,1,7,Road Facing Homes
rajved colony,gehu kheda,House,29.0,4264,1.0,West,3,2,1,680.0,0,0,0,0,0,0,1,9,Road Facing Homes
janki nagar,chuna bhatti,House,57.0,3800,2.0,,3,3,2,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
sarc pacific blue,hoshangabad road,Flat,18.0,4500,3.0,,1,1,1,400.0,0,0,0,0,0,0,1,41,Amenity Facing Homes
prestine the homes,ayodhya bypass,Flat,30.9,3433,4.0,East,3,2,1,900.0,0,0,0,0,0,0,1,31,Road Facing Homes
independent,central bhopal,House,105.46,11718,2.0,,2,2,2,900.0,0,0,0,0,0,0,0,3,Road Facing Homes
rishikesh nirmaan the bellaire mint,gandhinagar,Flat,30.0,4000,6.0,East,2,2,3,750.0,0,0,0,0,0,0,1,44,Green View Homes
fortune signature,bawadia kalan,Flat,27.8,3706,2.0,East,2,2,2,750.0,0,0,0,0,0,0,0,66,Amenity Facing Homes
elixir gardens,gandhinagar,House,99.99,9689,2.0,East,4,4,1,1032.0,1,0,0,1,0,0,0,32,Green View Homes
gate number 8 shahpura,shahpura,House,210.0,8750,2.0,South,7,6,2,2400.0,0,0,0,0,0,0,1,1,Green View Homes
lambakheda berasia road,navi bagh,House,59.0,5900,2.0,,3,2,2,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
anmol maple tree phase 2,gandhinagar,Flat,48.99,3081,6.0,East,3,2,2,1590.0,1,0,0,1,0,0,2,33,Amenity Facing Homes
fortune pride extension,bawadia kalan,House,130.43,10869,2.0,West,3,3,2,1200.0,0,0,0,0,0,0,0,24,Green View Homes
kartik kasturi heights,navi bagh,Flat,24.99,2314,2.0,,2,2,0,1080.0,0,0,0,0,0,0,1,39,Green View Homes
hills view bunglow,chuna bhatti,House,654.0,5450,4.0,North,7,7,3,12000.0,1,1,1,1,0,0,2,137,Green View Homes
lilasons kanha towers,arera colony,Flat,199.98,7659,5.0,,4,3,3,2611.0,0,0,0,0,0,0,2,0,Road Facing Homes
shanti nagar berkhera pathni,habib ganj,House,10.0,2083,0.0,,3,1,0,480.0,0,0,0,0,0,0,1,0,Road Facing Homes
shiva whispering woods,salaiya,Flat,42.0,3818,4.0,,3,2,2,1100.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
sai vishal apartment,kolar road,Flat,16.12,2150,2.0,South-East,2,2,1,750.0,0,0,0,0,1,0,1,12,Road Facing Homes
satya prakash nice space,gandhinagar,Flat,26.18,2909,4.0,,3,2,1,900.0,0,0,0,1,0,0,1,45,Green View Homes
noor us sabah residency,shahjahanabad,Flat,479.97,13872,5.0,North-West,6,8,3,3460.0,1,1,0,1,1,0,1,63,Premium Scenic Homes
ultimate english villa,kolar road,House,59.99,8534,2.0,West,3,3,1,703.0,0,0,0,0,0,0,1,14,Amenity Facing Homes
agrawal sagar green hills,kolar road,House,180.0,13636,3.0,North,5,5,3,1320.0,1,0,0,1,0,0,2,94,Amenity Facing Homes
vayu royal enclave 1,awadhpuri,House,56.0,7000,,North,3,3,2,800.0,0,0,0,1,1,0,0,16,Green View Homes
sarthak heights,awadhpuri,Flat,30.0,4285,3.0,,2,2,1,700.0,0,0,0,0,0,0,1,6,Road Facing Homes
aakrati olive,bawadia kalan,Flat,69.02,7123,4.0,,3,3,2,969.0,0,0,0,0,0,0,1,24,Road Facing Homes
lig-176,bhopal,Flat,12.0,2000,0.0,,1,1,0,600.0,0,0,0,0,0,0,1,12,Road Facing Homes
agrawal sagar campus,chuna bhatti,Flat,55.06,4235,3.0,,3,2,2,1300.0,0,0,0,0,1,0,0,9,Road Facing Homes
sharda apartment,central bhopal,Flat,65.0,9285,0.0,,2,1,1,700.0,0,0,0,0,0,0,1,0,Road Facing Homes
mahendra township,arera colony,Flat,18.16,2270,3.0,West,3,2,1,800.0,0,0,0,0,0,0,1,13,Green View Homes
danish hills view,kolar road,Flat,84.99,5448,2.0,East,3,3,1,1560.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
danish hills view,kolar road,House,754.4,18400,3.0,,4,4,2,4100.0,0,0,1,0,0,0,2,85,Amenity Facing Homes
rajharsh colony,gehu kheda,House,85.0,7083,1.0,East,3,2,0,1200.0,0,0,0,0,0,0,1,23,Road Facing Homes
mirchandani shalimar regency,arera colony,Flat,51.99,5777,0.0,,3,3,2,900.0,0,0,0,0,0,0,1,18,Green View Homes
gauri shankar parisar,katara hills,Flat,16.48,2997,4.0,East,2,1,2,550.0,0,0,0,0,0,0,1,48,Green View Homes
d-sectorrajved colony,kolar road,House,45.0,5625,2.0,South,3,2,1,800.0,0,0,0,1,0,0,0,3,Road Facing Homes
shiva estate,bhopal,Flat,20.0,2857,1.0,,2,2,2,700.0,0,0,0,0,0,0,1,0,Road Facing Homes
awadhpuri,awadhpuri,House,80.99,6881,2.0,East,4,2,2,1177.0,0,0,0,1,0,0,1,9,Green View Homes
nikhil banglow hoshangabad road,hoshangabad road,House,90.0,9000,2.0,,3,3,2,1000.0,0,0,0,0,0,0,0,0,Green View Homes
trebhuvan vihar,katara hills,House,75.0,6000,1.0,,3,2,2,1250.0,0,0,0,0,0,0,1,16,Green View Homes
kasturi royal park,katara hills,House,79.99,6666,1.0,,2,2,1,1200.0,0,0,0,0,0,0,1,12,Green View Homes
bhojpal shree krishna heights,katara hills,Flat,40.5,4500,2.0,North-West,2,2,2,900.0,0,0,0,0,0,1,1,45,Amenity Facing Homes
kohefiza,shahjahanabad,House,700.0,31111,3.0,,10,5,2,2250.0,0,0,0,0,0,0,1,0,Road Facing Homes
drishti enclave,bawadia kalan,Flat,39.55,3635,3.0,East,3,3,1,1088.0,0,0,0,0,0,0,1,22,Green View Homes
danish kunj jain mandir,gehu kheda,Flat,18.0,2250,3.0,,2,2,1,800.0,0,0,0,0,0,0,1,11,Road Facing Homes
mahaveer apartment,central bhopal,Flat,30.0,4615,2.0,East,2,2,1,650.0,0,0,0,0,0,0,1,24,Road Facing Homes
regal town,awadhpuri,Flat,25.0,3410,5.0,,2,2,1,733.0,0,0,0,0,0,0,0,41,Amenity Facing Homes
rajharsh colony,gehu kheda,House,42.0,3281,2.0,,3,2,1,1280.0,0,0,0,0,0,0,1,8,Road Facing Homes
shree ganesh lotus park,mandideep,House,48.61,3472,1.0,East,3,2,2,1400.0,0,0,0,0,1,0,1,4,Green View Homes
laharpur,bagmuliya,House,66.0,9428,,,2,1,2,700.0,0,0,0,0,0,0,1,8,Road Facing Homes
saket nagar,habib ganj,House,163.56,8178,1.0,West,3,3,2,2000.0,1,0,0,1,1,0,1,9,Green View Homes
anmol maple tree phase 2,gandhinagar,Flat,38.99,2888,1.0,,3,3,2,1350.0,0,0,0,0,0,0,1,39,Amenity Facing Homes
karond chouraha,karond,House,25.0,5555,2.0,South,3,2,1,450.0,0,0,0,1,1,0,0,8,Road Facing Homes
jd kasturi vihar,misrod,House,45.0,8789,2.0,,3,2,2,512.0,0,0,0,0,0,0,1,7,Road Facing Homes
ap park avenue,misrod,Flat,39.99,2666,1.0,,3,2,3,1500.0,0,0,0,0,0,0,0,41,Road Facing Homes
prakrati eden and elite,bawadia kalan,Flat,45.94,4460,3.0,East,3,2,2,1030.0,0,0,0,0,0,0,1,35,Road Facing Homes
fortune estate,kolar road,House,150.0,10000,2.0,,4,3,2,1500.0,0,0,0,0,0,0,0,11,Green View Homes
danish kunj,gehu kheda,House,450.0,11250,1.0,,5,3,2,4000.0,0,0,0,0,0,0,1,12,Green View Homes
globus coral woods,misrod,Flat,59.99,5730,3.0,,3,3,2,1047.0,0,0,1,0,0,0,1,63,Amenity Facing Homes
virasha heights,bawadia kalan,Flat,70.0,5833,5.0,East,3,3,1,1200.0,0,0,0,0,0,0,0,42,Amenity Facing Homes
flower city,bagmugaliya,House,124.99,9881,2.0,West,4,3,2,1265.0,0,0,0,0,1,0,0,28,Green View Homes
globus coral woods,misrod,Flat,63.0,5748,2.0,,3,3,2,1096.0,1,0,0,0,0,0,1,85,Amenity Facing Homes
bhuvi madhurban phase1,bypass road,Flat,19.16,4166,1.0,,1,1,2,460.0,0,0,0,0,0,0,1,0,Road Facing Homes
katara hillshoshangabad road,katara hills,House,109.99,9606,2.0,North-West,3,3,1,1145.0,1,0,0,1,0,0,1,0,Green View Homes
gammon shrishti cbd,central bhopal,Flat,239.98,11532,15.0,North,3,3,2,2081.0,1,1,0,1,1,0,1,85,Premium Scenic Homes
sahara states,misrod,House,54.99,4122,1.0,East,2,2,0,1334.0,0,0,0,1,1,0,1,16,Road Facing Homes
hoshangabad road,hoshangabad road,House,159.99,10666,2.0,,4,4,3,1500.0,0,0,0,1,0,0,1,48,Green View Homes
jharneshwar complex,central bhopal,Flat,47.0,4700,0.0,,2,1,1,1000.0,0,0,0,0,0,0,1,3,Road Facing Homes
rachna nagar,govindpura,House,180.01,3830,3.0,,9,7,0,4700.0,0,0,0,0,0,0,1,9,Road Facing Homes
airport road,gandhinagar,House,23.49,3309,1.0,,2,2,0,710.0,0,0,0,0,0,0,1,14,Amenity Facing Homes
aadhhaar symphony,kolar road,Flat,35.0,3271,7.0,,2,2,2,1070.0,0,0,0,0,0,1,0,60,Road Facing Homes
